pathwayName,pathwayId,pathwaySource,Pval,Num_In_Path,Total_In_Path,Pval_FDR,Pval_Holm,analytes,,,,,
Transport of inorganic cations/anions and amino acids/oligopeptides,R-HSA-425393,reactome,0.999999348,11,53,1,1,Glycine;Glutamate; L-Glutamic acid;L-Tyrosine;L-Proline;L-Asparagine;Histidine; L-Histidine;L-Serine; Serine;L-Cystine;Ornithine;Homo-L-arginine; homoArg;4-Hydroxyproline; hydroxy-proline,,,,,
Tryptophan catabolism,R-HSA-71240,reactome,0.923780515,4,35,1,1,Glutamate; L-Glutamic acid;L-Tyrosine;Histidine; L-Histidine;Indolelactic acid,,,,,
Glutamate and glutamine metabolism,R-HSA-8964539,reactome,0.912308976,3,25,1,1,Glutamate; L-Glutamic acid;L-Proline;Ornithine,,,,,
Serine biosynthesis,R-HSA-977347,reactome,0.827896813,2,15,1,1,Glutamate; L-Glutamic acid;L-Serine; Serine,,,,,
Aflatoxin activation and detoxification,R-HSA-5423646,reactome,0.957337338,2,30,1,1,Glycine;Glutamate; L-Glutamic acid,,,,,
Aspartate and asparagine metabolism,R-HSA-8963693,reactome,0.935380604,2,24,1,1,Glutamate; L-Glutamic acid;L-Asparagine,,,,,
Developmental Biology,R-HSA-1266738,reactome,0.755908786,5,40,1,1,"Glycine;Glutamate; L-Glutamic acid;13-HODE; Coriolic acid;TG(16:0/16:0/16:1(9Z));TG(16:0/16:0/18:1(9Z));TG(16:0/16:0/18:2(9Z,12Z));TG(16:0/18:0/18:1(9Z));TG(16:0/18:0/18:2(9Z,12Z));TG(16:0/16:1(9Z)/18:1(9Z));TG(16:0/18:1(9Z)/18:2(9Z,12Z));TG(16:0/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/16:1(9Z)/18:1(9Z));TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z));TG(16:1(9Z)/16:1(9Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));DAG; DG(16:0/16:0/0:0); DG(16:0_16:0);DG(16:0/16:1(9Z)/0:0); DG(16:0_16:0);DG(16:0/18:0/0:0); DG(16:0_16:0);DG(16:0/18:2(9Z,12Z)/0:0); DG(16:0_16:0);DG(16:0_16:0); DG(16:1(9Z)/18:2(9Z,12Z)/0:0)",,,,,
Visual phototransduction,R-HSA-2187338,reactome,1,3,66,1,1,"TG(16:0/16:0/16:1(9Z));TG(16:0/16:0/18:1(9Z));TG(16:0/16:0/18:2(9Z,12Z));TG(16:0/18:0/18:1(9Z));TG(16:0/18:0/18:2(9Z,12Z));TG(16:0/16:1(9Z)/18:1(9Z));TG(16:0/18:1(9Z)/18:2(9Z,12Z));TG(16:0/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/16:1(9Z)/18:1(9Z));TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z));TG(16:1(9Z)/16:1(9Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));CE(20:4(5Z,8Z,11Z,14Z));CE(22:4(7Z,10Z,13Z,16Z));CE(22:6(4Z,7Z,10Z,13Z,16Z,19Z));DAG; DG(16:0/16:0/0:0); DG(16:0_16:0);DG(16:0/16:1(9Z)/0:0); DG(16:0_16:0);DG(16:0/18:0/0:0); DG(16:0_16:0);DG(16:0/18:2(9Z,12Z)/0:0); DG(16:0_16:0);DG(16:0_16:0); DG(16:1(9Z)/18:2(9Z,12Z)/0:0);CE(18:0);CE(18:3(9Z,12Z,15Z))",,,,,
Retinoid metabolism and transport,R-HSA-975634,reactome,0.998929633,3,35,1,1,"TG(16:0/16:0/16:1(9Z));TG(16:0/16:0/18:1(9Z));TG(16:0/16:0/18:2(9Z,12Z));TG(16:0/18:0/18:1(9Z));TG(16:0/18:0/18:2(9Z,12Z));TG(16:0/16:1(9Z)/18:1(9Z));TG(16:0/18:1(9Z)/18:2(9Z,12Z));TG(16:0/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/16:1(9Z)/18:1(9Z));TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z));TG(16:1(9Z)/16:1(9Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));CE(20:4(5Z,8Z,11Z,14Z));CE(22:4(7Z,10Z,13Z,16Z));CE(22:6(4Z,7Z,10Z,13Z,16Z,19Z));DAG; DG(16:0/16:0/0:0); DG(16:0_16:0);DG(16:0/16:1(9Z)/0:0); DG(16:0_16:0);DG(16:0/18:0/0:0); DG(16:0_16:0);DG(16:0/18:2(9Z,12Z)/0:0); DG(16:0_16:0);DG(16:0_16:0); DG(16:1(9Z)/18:2(9Z,12Z)/0:0);CE(18:0);CE(18:3(9Z,12Z,15Z))",,,,,
Signaling by VEGF,R-HSA-194138,reactome,1,3,29,1,1,"Citrulline;ADMA; Symmetric dimethylarginine;DAG; DG(16:0/16:0/0:0); DG(16:0_16:0);DG(16:0/16:1(9Z)/0:0); DG(16:0_16:0);DG(16:0/18:0/0:0); DG(16:0_16:0);DG(16:0/18:2(9Z,12Z)/0:0); DG(16:0_16:0);DG(16:0_16:0); DG(16:1(9Z)/18:2(9Z,12Z)/0:0)",,,,,
Metabolism of nitric oxide: NOS3 activation and regulation,R-HSA-202131,reactome,0.965486385,2,26,1,1,Citrulline;ADMA; Symmetric dimethylarginine,,,,,
eNOS activation,R-HSA-203615,reactome,0.920840385,2,26,1,1,Citrulline;ADMA; Symmetric dimethylarginine,,,,,
VEGFA-VEGFR2 Pathway,R-HSA-4420097,reactome,1,3,29,1,1,"Citrulline;ADMA; Symmetric dimethylarginine;DAG; DG(16:0/16:0/0:0); DG(16:0_16:0);DG(16:0/16:1(9Z)/0:0); DG(16:0_16:0);DG(16:0/18:0/0:0); DG(16:0_16:0);DG(16:0/18:2(9Z,12Z)/0:0); DG(16:0_16:0);DG(16:0_16:0); DG(16:1(9Z)/18:2(9Z,12Z)/0:0)",,,,,
VEGFR2 mediated vascular permeability,R-HSA-5218920,reactome,0.990843933,2,17,1,1,Citrulline;ADMA; Symmetric dimethylarginine,,,,,
Triglyceride metabolism,R-HSA-8979227,reactome,0.99916634,2,28,1,1,"TG(16:0/16:0/16:1(9Z));TG(16:0/16:0/18:1(9Z));TG(16:0/16:0/18:2(9Z,12Z));TG(16:0/18:0/18:1(9Z));TG(16:0/18:0/18:2(9Z,12Z));TG(16:0/16:1(9Z)/18:1(9Z));TG(16:0/18:1(9Z)/18:2(9Z,12Z));TG(16:0/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/16:1(9Z)/18:1(9Z));TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z));TG(16:1(9Z)/16:1(9Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));CE(20:4(5Z,8Z,11Z,14Z));CE(22:4(7Z,10Z,13Z,16Z));CE(22:6(4Z,7Z,10Z,13Z,16Z,19Z));CE(18:0);CE(18:3(9Z,12Z,15Z))",,,,,
Extra-nuclear estrogen signaling,R-HSA-9009391,reactome,0.999999987,2,28,1,1,Citrulline;ADMA; Symmetric dimethylarginine,,,,,
Recycling of bile acids and salts,R-HSA-159418,reactome,0.949365755,3,20,1,1,"Glycine;Chenodeoxycholic acid glycine conjugate; GCDCA;Tauroursodeoxycholic acid;2-[(3a,7a-dihydroxy-24-oxo-5beta-cholan-24-yl)amino]ethanesulfonate; Taurochenodesoxycholic acid; TCDCA",,,,,
Triglyceride catabolism,R-HSA-163560,reactome,0.988506747,2,18,1,1,"TG(16:0/16:0/16:1(9Z));TG(16:0/16:0/18:1(9Z));TG(16:0/16:0/18:2(9Z,12Z));TG(16:0/18:0/18:1(9Z));TG(16:0/18:0/18:2(9Z,12Z));TG(16:0/16:1(9Z)/18:1(9Z));TG(16:0/18:1(9Z)/18:2(9Z,12Z));TG(16:0/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/16:1(9Z)/18:1(9Z));TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z));TG(16:1(9Z)/16:1(9Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));CE(20:4(5Z,8Z,11Z,14Z));CE(22:4(7Z,10Z,13Z,16Z));CE(22:6(4Z,7Z,10Z,13Z,16Z,19Z));CE(18:0);CE(18:3(9Z,12Z,15Z))",,,,,
Sphingolipid de novo biosynthesis,R-HSA-1660661,reactome,0.999337783,3,38,1,1,"L-Serine; Serine;DAG; DG(16:0/16:0/0:0); DG(16:0_16:0);DG(16:0/16:1(9Z)/0:0); DG(16:0_16:0);DG(16:0/18:0/0:0); DG(16:0_16:0);DG(16:0/18:2(9Z,12Z)/0:0); DG(16:0_16:0);DG(16:0_16:0); DG(16:1(9Z)/18:2(9Z,12Z)/0:0);ceramide phosphocholine  (sphingomyelin, SM); N-lauroyl-D-erythro-Sphingosylphosphoryl choline; SM(d18:1/20:0)",,,,,
Glycosphingolipid metabolism,R-HSA-1660662,reactome,0.999594215,3,38,1,1,"bGalNAc; N-Acetyl-b-D-galactosamine;Dehydroepiandrosterone sulfate; DHEA-SO4; ST 19:1;O2;S;ceramide phosphocholine  (sphingomyelin, SM); N-lauroyl-D-erythro-Sphingosylphosphoryl choline; SM(d18:1/20:0)",,,,,
Toll-like Receptor Cascades,R-HSA-168898,reactome,1,2,36,1,1,"TG(16:0/16:0/16:1(9Z));TG(16:0/16:0/18:1(9Z));TG(16:0/16:0/18:2(9Z,12Z));TG(16:0/18:0/18:1(9Z));TG(16:0/18:0/18:2(9Z,12Z));TG(16:0/16:1(9Z)/18:1(9Z));TG(16:0/18:1(9Z)/18:2(9Z,12Z));TG(16:0/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/16:1(9Z)/18:1(9Z));TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z));TG(16:1(9Z)/16:1(9Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));CE(20:4(5Z,8Z,11Z,14Z));CE(22:4(7Z,10Z,13Z,16Z));CE(22:6(4Z,7Z,10Z,13Z,16Z,19Z));CE(18:0);CE(18:3(9Z,12Z,15Z))",,,,,
Glutathione synthesis and recycling,R-HSA-174403,reactome,0.903348799,2,13,1,1,Glycine;Glutamate; L-Glutamic acid,,,,,
"Plasma lipoprotein assembly, remodeling, and clearance",R-HSA-174824,reactome,0.999999013,3,20,1,1,"TG(16:0/16:0/16:1(9Z));TG(16:0/16:0/18:1(9Z));TG(16:0/16:0/18:2(9Z,12Z));TG(16:0/18:0/18:1(9Z));TG(16:0/18:0/18:2(9Z,12Z));TG(16:0/16:1(9Z)/18:1(9Z));TG(16:0/18:1(9Z)/18:2(9Z,12Z));TG(16:0/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/16:1(9Z)/18:1(9Z));TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z));TG(16:1(9Z)/16:1(9Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));CE(20:4(5Z,8Z,11Z,14Z));CE(22:4(7Z,10Z,13Z,16Z));CE(22:6(4Z,7Z,10Z,13Z,16Z,19Z));DAG; DG(16:0/16:0/0:0); DG(16:0_16:0);DG(16:0/16:1(9Z)/0:0); DG(16:0_16:0);DG(16:0/18:0/0:0); DG(16:0_16:0);DG(16:0/18:2(9Z,12Z)/0:0); DG(16:0_16:0);DG(16:0_16:0); DG(16:1(9Z)/18:2(9Z,12Z)/0:0);CE(18:0);CE(18:3(9Z,12Z,15Z))",,,,,
Synthesis of bile acids and bile salts,R-HSA-192105,reactome,0.998929633,3,73,1,1,"Glycine;Chenodeoxycholic acid glycine conjugate; GCDCA;Tauroursodeoxycholic acid;2-[(3a,7a-dihydroxy-24-oxo-5beta-cholan-24-yl)amino]ethanesulfonate; Taurochenodesoxycholic acid; TCDCA",,,,,
Digestion of dietary lipid,R-HSA-192456,reactome,0.401742186,5,17,1,1,"Chenodeoxycholic acid glycine conjugate; GCDCA;Tauroursodeoxycholic acid;2-[(3a,7a-dihydroxy-24-oxo-5beta-cholan-24-yl)amino]ethanesulfonate; Taurochenodesoxycholic acid; TCDCA;TG(16:0/16:0/16:1(9Z));TG(16:0/16:0/18:1(9Z));TG(16:0/16:0/18:2(9Z,12Z));TG(16:0/18:0/18:1(9Z));TG(16:0/18:0/18:2(9Z,12Z));TG(16:0/16:1(9Z)/18:1(9Z));TG(16:0/18:1(9Z)/18:2(9Z,12Z));TG(16:0/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/16:1(9Z)/18:1(9Z));TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z));TG(16:1(9Z)/16:1(9Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));CE(20:4(5Z,8Z,11Z,14Z));CE(22:4(7Z,10Z,13Z,16Z));CE(22:6(4Z,7Z,10Z,13Z,16Z,19Z));DAG; DG(16:0/16:0/0:0); DG(16:0_16:0);DG(16:0/16:1(9Z)/0:0); DG(16:0_16:0);DG(16:0/18:0/0:0); DG(16:0_16:0);DG(16:0/18:2(9Z,12Z)/0:0); DG(16:0_16:0);DG(16:0_16:0); DG(16:1(9Z)/18:2(9Z,12Z)/0:0);CE(18:0);CE(18:3(9Z,12Z,15Z))",,,,,
Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol,R-HSA-193368,reactome,0.989827398,3,49,1,1,"Glycine;Chenodeoxycholic acid glycine conjugate; GCDCA;Tauroursodeoxycholic acid;2-[(3a,7a-dihydroxy-24-oxo-5beta-cholan-24-yl)amino]ethanesulfonate; Taurochenodesoxycholic acid; TCDCA",,,,,
Bile acid and bile salt metabolism,R-HSA-194068,reactome,0.999753707,3,74,1,1,"Glycine;Chenodeoxycholic acid glycine conjugate; GCDCA;Tauroursodeoxycholic acid;2-[(3a,7a-dihydroxy-24-oxo-5beta-cholan-24-yl)amino]ethanesulfonate; Taurochenodesoxycholic acid; TCDCA",,,,,
Membrane Trafficking,R-HSA-199991,reactome,0.690389565,2,31,1,1,"TG(16:0/16:0/16:1(9Z));TG(16:0/16:0/18:1(9Z));TG(16:0/16:0/18:2(9Z,12Z));TG(16:0/18:0/18:1(9Z));TG(16:0/18:0/18:2(9Z,12Z));TG(16:0/16:1(9Z)/18:1(9Z));TG(16:0/18:1(9Z)/18:2(9Z,12Z));TG(16:0/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/16:1(9Z)/18:1(9Z));TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z));TG(16:1(9Z)/16:1(9Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));CE(20:4(5Z,8Z,11Z,14Z));CE(22:4(7Z,10Z,13Z,16Z));CE(22:6(4Z,7Z,10Z,13Z,16Z,19Z));CE(18:0);CE(18:3(9Z,12Z,15Z))",,,,,
Synthesis of Leukotrienes (LT) and Eoxins (EX),R-HSA-2142691,reactome,0.965486385,2,30,1,1,Glycine;Glutamate; L-Glutamic acid,,,,,
EPH-Ephrin signaling,R-HSA-2682334,reactome,1,2,10,1,1,Glycine;Glutamate; L-Glutamic acid,,,,,
Cytosolic tRNA aminoacylation,R-HSA-379716,reactome,0.929570864,7,66,1,1,Glycine;Glutamate; L-Glutamic acid;L-Tyrosine;L-Proline;L-Asparagine;Histidine; L-Histidine;L-Serine; Serine,,,,,
tRNA Aminoacylation,R-HSA-379724,reactome,0.996992359,7,66,1,1,Glycine;Glutamate; L-Glutamic acid;L-Tyrosine;L-Proline;L-Asparagine;Histidine; L-Histidine;L-Serine; Serine,,,,,
Mitochondrial tRNA aminoacylation,R-HSA-379726,reactome,0.918651472,7,66,1,1,Glycine;Glutamate; L-Glutamic acid;L-Tyrosine;L-Proline;L-Asparagine;Histidine; L-Histidine;L-Serine; Serine,,,,,
EPHB-mediated forward signaling,R-HSA-3928662,reactome,0.999894668,2,10,1,1,Glycine;Glutamate; L-Glutamic acid,,,,,
Axon guidance,R-HSA-422475,reactome,0.807778169,3,20,1,1,"Glycine;Glutamate; L-Glutamic acid;DAG; DG(16:0/16:0/0:0); DG(16:0_16:0);DG(16:0/16:1(9Z)/0:0); DG(16:0_16:0);DG(16:0/18:0/0:0); DG(16:0_16:0);DG(16:0/18:2(9Z,12Z)/0:0); DG(16:0_16:0);DG(16:0_16:0); DG(16:1(9Z)/18:2(9Z,12Z)/0:0)",,,,,
Sphingolipid metabolism,R-HSA-428157,reactome,0.999999803,5,68,1,1,"L-Serine; Serine;bGalNAc; N-Acetyl-b-D-galactosamine;Dehydroepiandrosterone sulfate; DHEA-SO4; ST 19:1;O2;S;DAG; DG(16:0/16:0/0:0); DG(16:0_16:0);DG(16:0/16:1(9Z)/0:0); DG(16:0_16:0);DG(16:0/18:0/0:0); DG(16:0_16:0);DG(16:0/18:2(9Z,12Z)/0:0); DG(16:0_16:0);DG(16:0_16:0); DG(16:1(9Z)/18:2(9Z,12Z)/0:0);ceramide phosphocholine  (sphingomyelin, SM); N-lauroyl-D-erythro-Sphingosylphosphoryl choline; SM(d18:1/20:0)",,,,,
Activation of NMDA receptors and postsynaptic events,R-HSA-442755,reactome,0.999999994,3,18,1,1,Glycine;Glutamate; L-Glutamic acid;L-Serine; Serine,,,,,
ABC transporter disorders,R-HSA-5619084,reactome,0.999999991,2,22,1,1,"Chenodeoxycholic acid glycine conjugate; GCDCA;Tauroursodeoxycholic acid;2-[(3a,7a-dihydroxy-24-oxo-5beta-cholan-24-yl)amino]ethanesulfonate; Taurochenodesoxycholic acid; TCDCA",,,,,
Defective ABCB11 causes PFIC2 and BRIC2,R-HSA-5678520,reactome,0.520651836,2,6,1,1,"Chenodeoxycholic acid glycine conjugate; GCDCA;Tauroursodeoxycholic acid;2-[(3a,7a-dihydroxy-24-oxo-5beta-cholan-24-yl)amino]ethanesulfonate; Taurochenodesoxycholic acid; TCDCA",,,,,
Keratinization,R-HSA-6805567,reactome,1,2,11,1,1,"TG(16:0/16:0/16:1(9Z));TG(16:0/16:0/18:1(9Z));TG(16:0/16:0/18:2(9Z,12Z));TG(16:0/18:0/18:1(9Z));TG(16:0/18:0/18:2(9Z,12Z));TG(16:0/16:1(9Z)/18:1(9Z));TG(16:0/18:1(9Z)/18:2(9Z,12Z));TG(16:0/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/16:1(9Z)/18:1(9Z));TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z));TG(16:1(9Z)/16:1(9Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));DAG; DG(16:0/16:0/0:0); DG(16:0_16:0);DG(16:0/16:1(9Z)/0:0); DG(16:0_16:0);DG(16:0/18:0/0:0); DG(16:0_16:0);DG(16:0/18:2(9Z,12Z)/0:0); DG(16:0_16:0);DG(16:0_16:0); DG(16:1(9Z)/18:2(9Z,12Z)/0:0)",,,,,
Formation of the cornified envelope,R-HSA-6809371,reactome,1,2,11,1,1,"TG(16:0/16:0/16:1(9Z));TG(16:0/16:0/18:1(9Z));TG(16:0/16:0/18:2(9Z,12Z));TG(16:0/18:0/18:1(9Z));TG(16:0/18:0/18:2(9Z,12Z));TG(16:0/16:1(9Z)/18:1(9Z));TG(16:0/18:1(9Z)/18:2(9Z,12Z));TG(16:0/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/16:1(9Z)/18:1(9Z));TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z));TG(16:1(9Z)/16:1(9Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));DAG; DG(16:0/16:0/0:0); DG(16:0_16:0);DG(16:0/16:1(9Z)/0:0); DG(16:0_16:0);DG(16:0/18:0/0:0); DG(16:0_16:0);DG(16:0/18:2(9Z,12Z)/0:0); DG(16:0_16:0);DG(16:0_16:0); DG(16:1(9Z)/18:2(9Z,12Z)/0:0)",,,,,
Urea cycle,R-HSA-70635,reactome,0.827065578,3,22,1,1,Glutamate; L-Glutamic acid;Ornithine;Citrulline,,,,,
Proline catabolism,R-HSA-70688,reactome,0.216814446,3,11,1,1,Glutamate; L-Glutamic acid;L-Proline;4-Hydroxyproline; hydroxy-proline,,,,,
Histidine catabolism,R-HSA-70921,reactome,0.857453866,2,22,1,1,Glutamate; L-Glutamic acid;Histidine; L-Histidine,,,,,
Creatine metabolism,R-HSA-71288,reactome,0.628285194,4,15,1,1,Creatine;Glycine;Guanidoacetic acid;Ornithine,,,,,
Translation,R-HSA-72766,reactome,1,7,83,1,1,Glycine;Glutamate; L-Glutamic acid;L-Tyrosine;L-Proline;L-Asparagine;Histidine; L-Histidine;L-Serine; Serine,,,,,
Clathrin-mediated endocytosis,R-HSA-8856828,reactome,1,2,17,1,1,"TG(16:0/16:0/16:1(9Z));TG(16:0/16:0/18:1(9Z));TG(16:0/16:0/18:2(9Z,12Z));TG(16:0/18:0/18:1(9Z));TG(16:0/18:0/18:2(9Z,12Z));TG(16:0/16:1(9Z)/18:1(9Z));TG(16:0/18:1(9Z)/18:2(9Z,12Z));TG(16:0/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/16:1(9Z)/18:1(9Z));TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z));TG(16:1(9Z)/16:1(9Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));CE(20:4(5Z,8Z,11Z,14Z));CE(22:4(7Z,10Z,13Z,16Z));CE(22:6(4Z,7Z,10Z,13Z,16Z,19Z));CE(18:0);CE(18:3(9Z,12Z,15Z))",,,,,
Digestion,R-HSA-8935690,reactome,0.896763201,5,43,1,1,"Chenodeoxycholic acid glycine conjugate; GCDCA;Tauroursodeoxycholic acid;2-[(3a,7a-dihydroxy-24-oxo-5beta-cholan-24-yl)amino]ethanesulfonate; Taurochenodesoxycholic acid; TCDCA;TG(16:0/16:0/16:1(9Z));TG(16:0/16:0/18:1(9Z));TG(16:0/16:0/18:2(9Z,12Z));TG(16:0/18:0/18:1(9Z));TG(16:0/18:0/18:2(9Z,12Z));TG(16:0/16:1(9Z)/18:1(9Z));TG(16:0/18:1(9Z)/18:2(9Z,12Z));TG(16:0/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/16:1(9Z)/18:1(9Z));TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z));TG(16:1(9Z)/16:1(9Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));CE(20:4(5Z,8Z,11Z,14Z));CE(22:4(7Z,10Z,13Z,16Z));CE(22:6(4Z,7Z,10Z,13Z,16Z,19Z));DAG; DG(16:0/16:0/0:0); DG(16:0_16:0);DG(16:0/16:1(9Z)/0:0); DG(16:0_16:0);DG(16:0/18:0/0:0); DG(16:0_16:0);DG(16:0/18:2(9Z,12Z)/0:0); DG(16:0_16:0);DG(16:0_16:0); DG(16:1(9Z)/18:2(9Z,12Z)/0:0);CE(18:0);CE(18:3(9Z,12Z,15Z))",,,,,
Carboxyterminal post-translational modifications of tubulin,R-HSA-8955332,reactome,0.99864412,3,10,1,1,Glycine;Glutamate; L-Glutamic acid;L-Tyrosine,,,,,
Digestion and absorption,R-HSA-8963743,reactome,0.935211258,5,45,1,1,"Chenodeoxycholic acid glycine conjugate; GCDCA;Tauroursodeoxycholic acid;2-[(3a,7a-dihydroxy-24-oxo-5beta-cholan-24-yl)amino]ethanesulfonate; Taurochenodesoxycholic acid; TCDCA;TG(16:0/16:0/16:1(9Z));TG(16:0/16:0/18:1(9Z));TG(16:0/16:0/18:2(9Z,12Z));TG(16:0/18:0/18:1(9Z));TG(16:0/18:0/18:2(9Z,12Z));TG(16:0/16:1(9Z)/18:1(9Z));TG(16:0/18:1(9Z)/18:2(9Z,12Z));TG(16:0/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/16:1(9Z)/18:1(9Z));TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z));TG(16:1(9Z)/16:1(9Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));CE(20:4(5Z,8Z,11Z,14Z));CE(22:4(7Z,10Z,13Z,16Z));CE(22:6(4Z,7Z,10Z,13Z,16Z,19Z));DAG; DG(16:0/16:0/0:0); DG(16:0_16:0);DG(16:0/16:1(9Z)/0:0); DG(16:0_16:0);DG(16:0/18:0/0:0); DG(16:0_16:0);DG(16:0/18:2(9Z,12Z)/0:0); DG(16:0_16:0);DG(16:0_16:0); DG(16:1(9Z)/18:2(9Z,12Z)/0:0);CE(18:0);CE(18:3(9Z,12Z,15Z))",,,,,
