"","GENN.freq","GNN.SigProp.freq"
"CHAMP1__N.5...aminocarbonyl..L.ornithine",1,0
"CHD4__uracil",1,0
"CHD6__tetradecanoic.acid",1,0
"CHI3L2__L.alpha.glycerophosphorylcholine",1,0
"CHM__guanine",1,0
"CHMP1B__succinate",2,0
"CHMP2B__guanosine",1,0
"CHP2__porphobilinogen",1,0
"CHPT1__L.alpha.glycerophosphorylcholine",2,0
"CHRDL1__tetradecanoic.acid",1,0
"CHRM2__D.allose",1,0
"CHRM2__X.4238",0,1
"CHRNA3__porphobilinogen",1,0
"CHRNA9__porphobilinogen",1,0
"CHRNA9__sn.Glycerol.3.phosphate",9,0
"CHRNB4__porphobilinogen",1,0
"CHRNB4__X.p.Hydroxyphenyl.lactic.acid",1,0
"CHRND__caffeine",1,0
"CHRND__inosine",1,0
"CHRNG__tetradecanoic.acid",1,0
"CHST15__gamma.glu.cys",2,0
"CHST15__uracil",1,0
"CHST3__ethylmalonic.acid",3,0
"CHST9__porphobilinogen",1,0
"CHSY1__porphobilinogen",1,0
"CIAPIN1__porphobilinogen",4,0
"CIART__homogentisate",1,0
"CIDEA__citric.acid",0,1
"CITED1__sn.Glycerol.3.phosphate",1,0
"CIZ1__sn.Glycerol.3.phosphate",7,0
"CKAP5__taurine",1,0
"CKB__Kynurenic.acid",1,0
"CKMT2__lactate",1,0
"CKMT2__porphobilinogen",7,0
"CLCA3P__porphobilinogen",2,0
"CLCF1__cysteine",1,0
"CLDN10__cysteine",1,0
"CLDN10__Spermidine",2,0
"CLDN10__X.2292",0,1
"CLDN14__homogentisate",3,0
"CLDN2__X2..deoxyuridine.5..triphosphate",0,1
"CLDN23__Kynurenic.acid",1,0
"CLDN3__porphobilinogen",2,0
"CLDN3__succinate",2,0
"CLDN5__Kynurenic.acid",1,0
"CLDN8__porphobilinogen",1,0
"CLDN8__tetradecanoic.acid",1,0
"CLDN9__porphobilinogen",6,0
"CLDN9__sn.Glycerol.3.phosphate",1,0
"CLDND2__X.4238",0,1
"CLEC11A__succinate",1,0
"CLEC14A__porphobilinogen",1,0
"CLEC16A__porphobilinogen",1,0
"CLEC1A__gamma.glu.cys",2,0
"CLEC1A__Kynurenic.acid",6,0
"CLEC3A__uracil",1,0
"CLEC5A__uracil",1,0
"CLEC7A__Kynurenic.acid",1,0
"CLEC7A__lactate",2,0
"CLIP1__gamma.L.glutamyl.L.glutamine",1,0
"CLK1__quinolinic.acid",1,0
"CLK3__creatinine",1,0
"CLK4__porphobilinogen",6,0
"CLUH__porphobilinogen",2,0
"CLUHP3__gamma.glu.cys",1,0
"CMA1__porphobilinogen",4,0
"CMAHP__gamma.glu.cys",2,0
"CMC2__inosine",1,0
"CMC2__X5.oxoproline",1,0
"CMKLR1__caffeine",1,0
"CMSS1__porphobilinogen",1,0
"CMTR2__porphobilinogen",1,0
"CNFN__Spermidine",1,0
"CNGA3__porphobilinogen",1,0
"CNIH1__citric.acid",1,0
"CNKSR2__porphobilinogen",7,0
"CNN1__sn.Glycerol.3.phosphate",1,0
"CNNM4__porphobilinogen",4,0
"CNOT6L__citric.acid",1,0
"CNPPD1__porphobilinogen",1,0
"CNRIP1__sn.Glycerol.3.phosphate",1,0
"CNTN1__porphobilinogen",9,0
"CNTNAP2__sorbitol",1,0
"CNTNAP3P2__caffeine",1,0
"COASY__X.p.Hydroxyphenyl.lactic.acid",2,0
"COCH__L.alpha.glycerophosphorylcholine",1,0
"COG1__gamma.L.glutamyl.L.glutamine",1,0
"COG2__succinate",2,0
"COIL__porphobilinogen",1,0
"COL10A1__X2..deoxyuridine.5..triphosphate",0,1
"COL12A1__tyrosine",1,0
"COL14A1__porphobilinogen",17,0
"COL16A1__X5.oxoproline",1,0
"COL1A1__sn.Glycerol.3.phosphate",1,0
"COL24A1__porphobilinogen",1,0
"COL4A3BP__porphobilinogen",11,0
"COL4A6__porphobilinogen",18,0
"COL5A2__porphobilinogen",1,0
"COL6A1__porphobilinogen",12,0
"COL8A1__porphobilinogen",4,0
"COLEC10__quinolinic.acid",1,0
"COLGALT1__sn.Glycerol.3.phosphate",1,0
"COLGALT2__uracil",1,0
"COLGALT2__X2..deoxyuridine.5..triphosphate",0,1
"COPG1__porphobilinogen",1,0
"COPG2__tetradecanoic.acid",1,0
"COPS2__tyrosine",1,0
"COPS3__cysteine",1,0
"COPS3__sn.Glycerol.3.phosphate",4,0
"COPS4__porphobilinogen",1,0
"COPS5__porphobilinogen",1,0
"COQ3__porphobilinogen",8,0
"COQ4__fumaric.acid",3,0
"COQ4__glutamine",1,0
"COQ4__porphobilinogen",1,0
"CORO1B__quinolinic.acid",30,0
"CORO1C__porphobilinogen",3,0
"CORO2B__N.5...aminocarbonyl..L.ornithine",1,0
"CORO7__L.alpha.glycerophosphorylcholine",3,0
"COTL1__tyrosine",1,0
"COX11__porphobilinogen",1,0
"COX15__porphobilinogen",2,0
"COX17__cysteine",2,0
"COX6B1__guanine",1,0
"COX6C__n.dodecanoate",2,0
"COX7A1__glutamine",1,0
"CPA4__creatinine",5,0
"CPAMD8__N.5...aminocarbonyl..L.ornithine",1,0
"CPB1__homogentisate",1,0
"CPD__L.alpha.glycerophosphorylcholine",5,0
"CPEB2__tetradecanoic.acid",1,0
"CPLX1__gamma.glu.cys",1,0
"CPLX1__guanine",1,0
"CPN2__porphobilinogen",1,0
"CPNE1__gamma.glu.cys",1,0
"CPS1__porphobilinogen",9,0
"CPS1__sn.Glycerol.3.phosphate",1,0
"CPTP__anthranilic.acid",1,0
"CRACR2A__X.4238",0,1
"CRADD__X.4238",0,1
"CRAMP1__adenine",1,0
"CRAMP1__cholesterol",1,0
"CRAMP1__N.5...aminocarbonyl..L.ornithine",1,0
"CRAMP1__n.hexadecanoic.acid",1,0
"CRAMP1__sn.Glycerol.3.phosphate",1,0
"CRAMP1__valine",1,0
"CRAMP1__X5..s.methyl.5..thioadenosine",1,0
"CRB1__porphobilinogen",12,0
"CREBRF__porphobilinogen",5,0
"CREBZF__porphobilinogen",1,0
"CREG1__porphobilinogen",1,0
"CREG1__X3.hydroxy.3.methylglutarate",1,0
"CRELD2__homogentisate",2,0
"CRHBP__porphobilinogen",4,0
"CRISPLD2__uracil",1,0
"CRK__X.3955",0,1
"CRLF1__phenylalanine",1,0
"CRLF2__L.alpha.glycerophosphorylcholine",2,0
"CRNN__glutamine",1,0
"CROCC__tyrosine",1,0
"CROCCP3__sn.Glycerol.3.phosphate",2,0
"CRTAC1__taurine",1,0
"CRTAC1__tyramine",1,0
"CRTC3__porphobilinogen",1,0
"CRYAA__anthranilic.acid",1,0
"CRYBB2__hypoxanthine",1,0
"CRYGD__guanosine",1,0
"CRYGD__porphobilinogen",4,0
"CRYL1__porphobilinogen",1,0
"CRYZ__X2..deoxyuridine.5..triphosphate",0,1
"CSE1L__guanosine",1,0
"CSPG4__uridine",1,0
"CSRP1__porphobilinogen",1,0
"CST6__porphobilinogen",3,0
"CSTF2__porphobilinogen",1,0
"CSTF2T__tyrosine",1,0
"CT62__porphobilinogen",1,0
"CTAGE1__Kynurenic.acid",3,0
"CTC.338M12.4__porphobilinogen",1,0
"CTCF__guanine",1,0
"CTDP1__porphobilinogen",2,0
"CTDSP1__porphobilinogen",1,0
"CTDSPL2__guanosine",1,0
"CTNNBL1__creatinine",7,0
"CTNS__porphobilinogen",6,0
"CTPS1__porphobilinogen",7,0
"CTPS2__uracil",1,0
"CTRC__guanosine",1,0
"CTSD__L.alpha.glycerophosphorylcholine",1,0
"CTSD__sn.Glycerol.3.phosphate",7,0
"CTSE__gamma.glu.cys",1,0
"CTSG__L.alpha.glycerophosphorylcholine",1,0
"CTSK__X.4013",0,1
"CUEDC1__gamma.glu.cys",1,0
"CUL2__sn.Glycerol.3.phosphate",1,0
"CUTA__gamma.glu.cys",2,0
"CUTC__porphobilinogen",4,0
"CUZD1__porphobilinogen",1,0
"CWF19L2__porphobilinogen",10,0
"CX3CR1__phosphoenolpyruvate",2,0
"CXCL17__malic.acid",1,0
"CXCL2__X.4238",0,2
"CXCL3__porphobilinogen",1,0
"CXCL8__succinate",2,0
"CXCR2__tyrosine",1,0
"CXCR5__X2..deoxyuridine.5..triphosphate",0,1
"CXorf56__gamma.glu.cys",3,0
"CXorf57__citric.acid",0,1
"CXorf57__gamma.glu.cys",1,0
"CXXC5__gamma.glu.cys",1,0
"CYB561D2__citric.acid",0,2
"CYB5A__caffeine",2,0
"CYB5A__Kynurenic.acid",1,0
"CYB5B__X2..deoxyuridine.5..triphosphate",0,2
"CYB5R2__N.5...aminocarbonyl..L.ornithine",1,0
"CYB5R2__n.dodecanoate",4,0
"CYLC1__porphobilinogen",1,0
"CYLD__tyrosine",1,0
"CYP11B1__inosine",1,0
"CYP1B1.AS1__porphobilinogen",1,0
"CYP2B7P__citric.acid",1,0
"CYP2R1__porphobilinogen",1,0
"CYP3A43__tetradecanoic.acid",1,0
"CYP4F30P__Kynurenic.acid",1,0
"CYP4V2__porphobilinogen",3,0
"CYP8B1__guanine",1,0
"CYR61__X2.3.diphospho.D.glyceric.acid",2,0
"CYS1__X.4238",0,1
"DAAM2__porphobilinogen",3,0
"DAD1__sn.Glycerol.3.phosphate",1,0
"DAG1__cysteine",3,0
"DAGLA__caffeine",1,0
"DAGLA__gamma.glu.cys",2,0
"DAO__sorbitol",1,0
"DAPK2__porphobilinogen",1,0
"DAPK3__S.adenosyl.l.homocysteine",1,0
"DAPL1__L.alpha.glycerophosphorylcholine",1,0
"DARS2__guanosine",1,0
"DARS2__porphobilinogen",4,0
"DAW1__X.p.Hydroxyphenyl.lactic.acid",9,0
"DCAF12L2__porphobilinogen",2,0
"DCAF15__alpha.D.ribose.5.phosphate",1,0
"DCAF4__homogentisate",1,0
"DCAF5__gamma.L.glutamyl.L.glutamine",1,0
"DCAF8__guanine",1,0
"DCK__X.4238",0,1
"DCLK2__porphobilinogen",1,0
"DCLK3__gamma.glu.cys",4,0
"DCLRE1A__guanine",0,1
"DCSTAMP__porphobilinogen",3,0
"DCUN1D4__X.3955",0,1
"DDA1__guanine",1,0
"DDO__X.p.Hydroxyphenyl.lactic.acid",1,0
"DDX25__porphobilinogen",1,0
"DDX3X__hypoxanthine",25,0
"DDX3Y__porphobilinogen",1,0
"DDX46__porphobilinogen",11,0
"DDX47__creatinine",4,0
"DDX47__sn.Glycerol.3.phosphate",6,0
"DEC1__phosphoenolpyruvate",3,0
"DEC1__porphobilinogen",3,0
"DEF6__gamma.glu.cys",1,0
"DEFA4__uracil",1,0
"DEFA6__cysteine",2,0
"DEFB1__cysteine",1,0
"DEFB119__adenine",1,0
"DEFB119__phenylalanine",1,0
"DEFB119__valine",1,0
"DEFB127__porphobilinogen",1,0
"DENND2C__L.alpha.glycerophosphorylcholine",2,0
"DENND4A__sn.Glycerol.3.phosphate",1,0
"DENND4A__X.4238",0,1
"DENND6B__porphobilinogen",13,0
"DEPDC1B__guanine",1,0
"DEPDC7__porphobilinogen",1,0
"DES__inosine",1,0
"DESI1__gamma.L.glutamyl.L.glutamine",1,0
"DESI2__tyrosine",1,0
"DGCR6__S.adenosyl.l.homocysteine",1,0
"DGKE__L.alpha.glycerophosphorylcholine",2,0
"DHCR24__gamma.glu.cys",1,0
"DHCR7__gamma.glu.cys",2,0
"DHFRL1__creatinine",1,0
"DHRS1__porphobilinogen",2,0
"DHX16__cysteine",1,0
"DHX37__X.4238",0,1
"DHX58__creatinine",1,0
"DHX58__fumaric.acid",1,0
"DHX8__L.alpha.glycerophosphorylcholine",1,0
"DHX8__porphobilinogen",1,0
"DHX9__inosine",1,0
"DHX9__succinate",1,0
"DIO2__porphobilinogen",7,0
"DIO3__phenylalanine",1,0
"DIP2A__citric.acid",1,0
"DIRC3__cysteine",1,0
"DKK3__L.alpha.glycerophosphorylcholine",4,0
"DKK3__porphobilinogen",1,0
"DKK4__caffeine",1,0
"DKKL1__oxitryptan",1,0
"DLG2__porphobilinogen",1,0
"DLGAP1__creatinine",9,0
"DLGAP1.AS2__succinate",1,0
"DLGAP2__porphobilinogen",1,0
"DLGAP3__porphobilinogen",1,0
"DLK2__X.4238",0,1
"DLL1__porphobilinogen",1,0
"DLX2__N.5...aminocarbonyl..L.ornithine",1,0
"DLX2__phenylalanine",1,0
"DLX4__L.alpha.glycerophosphorylcholine",1,0
"DLX6.AS1__gamma.glu.cys",1,0
"DMBT1__cysteine",1,0
"DMRT2__X.p.Hydroxyphenyl.lactic.acid",1,0
"DMTF1__L.alpha.glycerophosphorylcholine",3,0
"DNAAF1__porphobilinogen",1,0
"DNAH2__porphobilinogen",5,0
"DNAH7__porphobilinogen",6,0
"DNAH9__X.4238",0,1
"DNAI1__asparagine",1,0
"DNAI1__cholesterol",1,0
"DNAI1__citric.acid",1,0
"DNAI1__hypotaurine",1,0
"DNAI1__inositol.1.phosphate",1,0
"DNAI1__methionine",2,0
"DNAI1__n.hexadecanoic.acid",1,0
"DNAI1__phenylalanine",2,0
"DNAI1__porphobilinogen",6,0
"DNAI1__proline",1,0
"DNAI1__serine",1,0
"DNAI1__taurine",2,0
"DNAI1__tetradecanoic.acid",1,0
"DNAI1__valine",2,0
"DNAI1__X3.phospho.d.glycerate",1,0
"DNAI1__X5.oxoproline",1,0
"DNAJA3__porphobilinogen",4,0
"DNAJB2__phenylalanine",1,0
"DNAJB2__porphobilinogen",7,0
"DNAJB2__X.4238",0,1
"DNAJB6__porphobilinogen",1,0
"DNAJC10__L.alpha.glycerophosphorylcholine",2,0
"DNAJC11__X.p.Hydroxyphenyl.lactic.acid",1,0
"DNAJC16__uracil",2,0
"DNAJC28__Kynurenic.acid",1,0
"DNAJC4__porphobilinogen",1,0
"DNAJC6__porphobilinogen",1,0
"DNAL4__porphobilinogen",8,0
"DNALI1__creatinine",15,0
"DNALI1__succinate",1,0
"DNASE1__tyrosine",1,0
"DNASE1L2__L.alpha.glycerophosphorylcholine",3,0
"DNASE1L2__sn.Glycerol.3.phosphate",8,0
"DNASE1L3__inosine",1,0
"DNM1__Kynurenic.acid",1,0
"DOC2A__hypoxanthine",1,0
"DOC2A__tyrosine",1,0
"DOCK1__creatinine",5,0
"DOCK3__guanosine",1,0
"DOCK3__succinate",1,0
"DOHH__porphobilinogen",8,0
"DOK3__gamma.glu.cys",1,0
"DOLK__Kynurenic.acid",2,0
"DOLK__tyrosine",1,0
"DOLPP1__porphobilinogen",1,0
"DPEP2__Kynurenic.acid",1,0
"DPEP3__porphobilinogen",1,0
"DPF2__porphobilinogen",6,0
"DPP6__guanosine",1,0
"DPY30__succinate",1,0
"DPYD__porphobilinogen",1,0
"DPYSL2__porphobilinogen",1,0
"DPYSL2__pyridoxal",12,0
"DRAM1__L.alpha.glycerophosphorylcholine",2,0
"DRD5__porphobilinogen",1,0
"DRG2__L.alpha.glycerophosphorylcholine",1,0
"DSC3__L.alpha.glycerophosphorylcholine",1,0
"DSCR3__L.alpha.glycerophosphorylcholine",1,0
"DSCR3__sn.Glycerol.3.phosphate",2,0
"DSCR9__porphobilinogen",1,0
"DSG1__uracil",1,0
"DSN1__X.4238",0,1
"DSTYK__creatinine",2,0
"DTD1__porphobilinogen",1,0
"DTNB__porphobilinogen",1,0
"DTNBP1__L.alpha.glycerophosphorylcholine",1,0
"DTWD1__gamma.glu.cys",2,0
"DUOX1__citric.acid",1,0
"DUOX2__L.alpha.glycerophosphorylcholine",1,0
"DUOXA2__porphobilinogen",1,0
"DUS1L__uridine",3,0
"DUSP10__uridine",2,0
"DUSP2__Kynurenic.acid",2,0
"DUSP2__lactate",1,0
"DUSP2__tyrosine",1,0
"DUSP28__porphobilinogen",2,0
"DVL3__tyrosine",1,0
"DYRK1B__porphobilinogen",1,0
"DZIP3__phosphoenolpyruvate",1,0
"E2F1__succinate",1,0
"E2F5__caffeine",1,0
"E2F7__succinate",1,0
"EAF2__gamma.glu.cys",1,0
"EAPP__porphobilinogen",1,0
"EBP__L.alpha.glycerophosphorylcholine",1,0
"ECM2__porphobilinogen",1,0
"ECRP__sn.Glycerol.3.phosphate",1,0
"EDAR__cysteine",2,0
"EDDM3B__porphobilinogen",1,0
"EDEM3__citric.acid",0,1
"EDEM3__malic.acid",1,0
"EDRF1__porphobilinogen",1,0
"EEA1__porphobilinogen",11,0
"EEF1E1__caffeine",1,0
"EEFSEC__porphobilinogen",3,0
"EEPD1__porphobilinogen",1,0
"EFCAB11__guanine",0,1
"EFCAB12__porphobilinogen",1,0
"EFCAB2__porphobilinogen",8,0
"EFHB__gamma.glu.cys",4,0
"EFHB__porphobilinogen",1,0
"EFHC2__L.alpha.glycerophosphorylcholine",3,0
"EFNA1__cysteine",1,0
"EFNA2__cysteine",1,0
"EFNA4__succinate",1,0
"EFNA5__L.alpha.glycerophosphorylcholine",1,0
"EFNB1__caffeine",1,0
"EFNB3__uracil",2,0
"EFR3A__L.alpha.glycerophosphorylcholine",1,0
"EFS__guanine",1,0
"EFTUD1__guanine",1,0
"EFTUD2__porphobilinogen",6,0
"EGF__Kynurenic.acid",1,0
"EGFLAM__porphobilinogen",3,0
"EGFR__L.alpha.glycerophosphorylcholine",1,0
"EGLN2__X.4238",0,1
"EGR2__porphobilinogen",1,0
"EHD2__L.alpha.glycerophosphorylcholine",2,0
"EHD3__L.alpha.glycerophosphorylcholine",1,0
"EIF1B__porphobilinogen",1,0
"EIF2B3__adenine",1,0
"EIF2B3__asparagine",1,0
"EIF2B3__beta.alanine",1,0
"EIF2B3__caffeine",8,0
"EIF2B3__glyceric.acid",1,0
"EIF2B3__guanosine.5...monophosphate",1,0
"EIF2B3__histidine",2,0
"EIF2B3__isoleucine",1,0
"EIF2B3__leucine",1,0
"EIF2B3__methionine",1,0
"EIF2B3__N.5...aminocarbonyl..L.ornithine",1,0
"EIF2B3__ornithine",1,0
"EIF2B3__phenylalanine",1,0
"EIF2B3__proline",1,0
"EIF2B3__serine",1,0
"EIF2B3__taurine",1,0
"EIF2B3__trans.4.hydroxyproline",1,0
"EIF2B3__tyramine",1,0
"EIF2B3__tyrosine",1,0
"EIF2B3__valine",1,0
"EIF2B3__xanthine",1,0
"EIF3C__caffeine",1,0
"EIF3J__porphobilinogen",1,0
"EIF3L__porphobilinogen",6,0
"EIF4A3__porphobilinogen",1,0
"EIF4G2__guanine",1,0
"EIF4G2__Kynurenic.acid",2,0
"EIF4G3__porphobilinogen",1,0
"EIF4G3__quinolinic.acid",1,0
"ELAVL1__porphobilinogen",4,0
"ELF4__gamma.glu.cys",2,0
"ELF4__X.3893",0,3
"ELMOD2__porphobilinogen",11,0
"ELMSAN1__porphobilinogen",1,0
"ELN__porphobilinogen",3,0
"ELOVL2__guanosine",1,0
"EMC1__porphobilinogen",3,0
"EMD__gamma.glu.cys",1,0
"EMG1__sn.Glycerol.3.phosphate",5,0
"EMID1__uracil",1,0
"EMX2__pyridoxal",1,0
"EMX2__X.p.Hydroxyphenyl.lactic.acid",1,0
"ENG__tetradecanoic.acid",1,0
"ENGASE__porphobilinogen",2,0
"ENKD1__X.4238",0,1
"ENKUR__Kynurenic.acid",1,0
"ENO1__X.p.Hydroxyphenyl.lactic.acid",1,0
"ENOX1__porphobilinogen",1,0
"ENPP1__L.alpha.glycerophosphorylcholine",2,0
"ENY2__L.alpha.glycerophosphorylcholine",1,0
"EP300__porphobilinogen",1,0
"EPB41L4B__creatinine",6,0
"EPC2__porphobilinogen",9,0
"EPHA5.AS1__oxitryptan",1,0
"EPHB3__L.alpha.glycerophosphorylcholine",1,0
"EPM2A__caffeine",1,0
"EPM2A__tyrosine",1,0
"EPO__X.4238",0,1
"EPOR__porphobilinogen",1,0
"EPS15__cysteine",4,0
"ERAP1__glutamine",1,0
"ERAP1__phosphoenolpyruvate",1,0
"ERBB4__sn.Glycerol.3.phosphate",6,0
"ERC2__porphobilinogen",1,0
"EREG__cysteine",1,0
"ERI2__X.p.Hydroxyphenyl.lactic.acid",8,0
"ERI3__X.p.Hydroxyphenyl.lactic.acid",1,0
"ERICH3__L.alpha.glycerophosphorylcholine",1,0
"ERP27__pyridoxal",12,0
"ERP27__X.1086",0,1
"ERV9.1__porphobilinogen",1,0
"ESM1__gamma.glu.cys",2,0
"ESYT2__gamma.glu.cys",2,0
"ETAA1__pyridoxal",13,3
"ETNPPL__porphobilinogen",1,0
"ETV7__guanine",1,0
"EXO1__porphobilinogen",3,0
"EXOC4__porphobilinogen",16,7
"EXOC4__X.3888",0,1
"EXOC6__creatinine",1,0
"EXOSC4__succinate",1,0
"EXOSC4__tyrosine",1,0
"EXOSC5__sn.Glycerol.3.phosphate",4,0
"EXOSC5__X.3074",0,1
"EYA3__guanosine",1,0
"EYA4__porphobilinogen",2,0
"F11__X.p.Hydroxyphenyl.lactic.acid",1,0
"F2__picolinic.acid",1,0
"F2RL1__porphobilinogen",1,0
"F2RL2__porphobilinogen",6,0
"F2RL3__L.alpha.glycerophosphorylcholine",1,0
"F5__X.p.Hydroxyphenyl.lactic.acid",6,0
"FAAH__porphobilinogen",1,0
"FAAP20__porphobilinogen",5,0
"FABP5__gamma.glu.cys",1,0
"FADS3__adenine",1,0
"FADS3__citric.acid",1,0
"FADS3__phenylalanine",1,0
"FADS3__S..5..adenosyl..L.methionine",1,0
"FADS3__trans.4.hydroxyproline",1,0
"FAHD2A__X2..deoxyuridine.5..triphosphate",0,1
"FAM102B__tyrosine",1,0
"FAM104B__gamma.glu.cys",1,0
"FAM106A__gamma.glu.cys",2,0
"FAM107A__pyridoxal",4,0
"FAM114A1__L.alpha.glycerophosphorylcholine",1,0
"FAM114A2__X.p.Hydroxyphenyl.lactic.acid",1,0
"FAM118B__porphobilinogen",1,0
"FAM126B__porphobilinogen",7,0
"FAM131A__porphobilinogen",1,0
"FAM132A__porphobilinogen",1,0
"FAM134C__porphobilinogen",2,0
"FAM136A__Kynurenic.acid",1,0
"FAM136A__L.alpha.glycerophosphorylcholine",2,0
"FAM136A__sn.Glycerol.3.phosphate",1,0
"FAM136A__uridine",2,0
"FAM13A__cholesterol",0,1
"FAM13A__Kynurenic.acid",3,0
"FAM13A.AS1__porphobilinogen",1,0
"FAM13B__D.allose",1,0
"FAM13B__Spermidine",1,0
"FAM155A__methionine",0,1
"FAM155A__tyramine",0,1
"FAM155A__uracil",1,0
"FAM160B2__porphobilinogen",1,0
"FAM163A__L.alpha.glycerophosphorylcholine",5,0
"FAM167A__L.alpha.glycerophosphorylcholine",1,0
"FAM168A__porphobilinogen",1,0
"FAM168A__quinolinic.acid",1,0
"FAM172A__oxitryptan",1,0
"FAM172A__sn.Glycerol.3.phosphate",1,0
"FAM179B__gamma.glu.cys",1,0
"FAM184B__gamma.glu.cys",1,0
"FAM185A__porphobilinogen",1,0
"FAM198A__porphobilinogen",1,0
"FAM198A__succinate",1,0
"FAM210B__creatinine",7,0
"FAM210B__S.adenosyl.l.homocysteine",1,0
"FAM214A__oxitryptan",1,0
"FAM214A__porphobilinogen",1,0
"FAM221B__caffeine",2,0
"FAM222A__creatinine",1,0
"FAM24A__porphobilinogen",3,0
"FAM3A__gamma.glu.cys",2,0
"FAM47B__sn.Glycerol.3.phosphate",1,0
"FAM49A__homogentisate",1,0
"FAM49A__X.4238",0,1
"FAM50B__gamma.glu.cys",1,0
"FAM53B__gamma.glu.cys",1,0
"FAM53B.AS1__gamma.glu.cys",2,0
"FAM57A__inosine",1,0
"FAM57A__X.4238",0,1
"FAM65A__sn.Glycerol.3.phosphate",7,0
"FAM65A__succinate",1,0
"FAM65C__S.adenosyl.l.homocysteine",1,0
"FAM83C.AS1__L.alpha.glycerophosphorylcholine",1,0
"FAM83C.AS1__sn.Glycerol.3.phosphate",1,0
"FAM86B3P__porphobilinogen",1,0
"FAM89B__porphobilinogen",7,0
"FAM8A1__gamma.L.glutamyl.L.glutamine",1,0
"FAM98A__citric.acid",1,0
"FANCA__creatinine",1,0
"FANCA__porphobilinogen",1,0
"FANCL__inosine",1,0
"FARS2__fumaric.acid",1,0
"FARS2__porphobilinogen",1,0
"FASTK__porphobilinogen",2,0
"FATE1__X2..deoxyuridine.5..triphosphate",0,1
"FBLN1__creatinine",1,0
"FBLN5__L.alpha.glycerophosphorylcholine",1,0
"FBLN7__X.p.Hydroxyphenyl.lactic.acid",1,0
"FBN2__sn.Glycerol.3.phosphate",4,0
"FBRSL1__porphobilinogen",3,0
"FBXL14__L.alpha.glycerophosphorylcholine",2,0
"FBXL20__S.adenosyl.l.homocysteine",1,0
"FBXL5__cysteine",1,0
"FBXO21__gamma.glu.cys",3,1
"FBXO40__L.alpha.glycerophosphorylcholine",3,0
"FBXO40__porphobilinogen",2,0
"FBXO42__porphobilinogen",3,0
"FBXO8__X.p.Hydroxyphenyl.lactic.acid",5,0
"FBXW4P1__X.3955",0,3
"FCAR__caffeine",26,0
"FCAR__gamma.glu.cys",3,0
"FCGR1A__porphobilinogen",1,0
"FCHSD2__guanosine",1,0
"FCHSD2__L.alpha.glycerophosphorylcholine",1,0
"FCHSD2__porphobilinogen",3,0
"FDFT1__succinate",1,0
"FEM1C__porphobilinogen",4,0
"FEZF2__porphobilinogen",1,0
"FGD3__X.4238",0,1
"FGF1__caffeine",2,0
"FGF1__tyrosine",1,0
"FGF10__L.alpha.glycerophosphorylcholine",2,0
"FGF16__asparagine",1,0
"FGF16__citric.acid",1,0
"FGF16__glycerol",2,0
"FGF16__Kynurenic.acid",3,0
"FGF16__serine",1,0
"FGF16__tetradecanoic.acid",1,0
"FGF16__trans.4.hydroxyproline",1,0
"FGF17__anthranilic.acid",1,0
"FGF17__beta.alanine",1,0
"FGF17__caffeine",31,0
"FGF17__hypotaurine",1,0
"FGF17__inosine",1,0
"FGF17__leucine",1,0
"FGF17__methionine",1,0
"FGF17__n.hexadecanoic.acid",1,0
"FGF17__phenylalanine",1,0
"FGF17__serine",1,0
"FGF17__tryptophan",1,0
"FGF17__valine",1,0
"FGF17__X4.Guanidinobutanoic.acid",1,0
"FGF17__xanthine",1,0
"FGF3__hypoxanthine",27,0
"FGF8__porphobilinogen",1,0
"FGFBP3__porphobilinogen",2,0
"FGL1__cysteine",1,0
"FHOD1__porphobilinogen",7,0
"FIBP__guanine",1,0
"FIGNL1__gamma.glu.cys",1,0
"FIP1L1__n.hexadecanoic.acid",0,1
"FKBP7__L.alpha.glycerophosphorylcholine",2,0
"FLG__porphobilinogen",1,0
"FLG.AS1__porphobilinogen",1,0
"FLJ11710__succinate",1,0
"FLJ37035__porphobilinogen",5,0
"FLJ41455__cysteine",2,0
"FLNA__porphobilinogen",1,0
"FLNB__guanine",1,0
"FLVCR1.AS1__L.alpha.glycerophosphorylcholine",1,0
"FMO3__gamma.glu.cys",1,0
"FN3K__guanosine",1,0
"FNDC7__porphobilinogen",4,0
"FOLR2__porphobilinogen",2,0
"FOXC1__succinate",2,0
"FOXC2__X.4238",0,1
"FOXD3.AS1__caffeine",1,0
"FOXG1__caffeine",1,0
"FOXN1__caffeine",4,0
"FOXN3__cysteine",1,0
"FOXO6__citric.acid",1,0
"FOXP3__gamma.glu.cys",1,0
"FOXP3__Kynurenic.acid",2,0
"FOXRED1__succinate",1,0
"FPGT__Kynurenic.acid",2,0
"FPGT__X.4238",0,2
"FPGT.TNNI3K__porphobilinogen",9,0
"FRAS1__L.alpha.glycerophosphorylcholine",3,0
"FRG1__tyrosine",1,0
"FRMD6__L.alpha.glycerophosphorylcholine",1,0
"FRMD8__porphobilinogen",7,0
"FRMD8P1__niacinamide",4,0
"FRMPD1__Kynurenic.acid",1,0
"FRMPD4__porphobilinogen",2,0
"FSCN3__S.adenosyl.l.homocysteine",1,0
"FSD1__caffeine",1,0
"FSD2__phenylalanine",1,0
"FSD2__tyrosine",1,0
"FSHB__caffeine",3,0
"FSHB__fumaric.acid",1,0
"FSHB__gamma.glu.cys",3,0
