"Pathway, Gene Set, or Metabolite Class",Matching Analyte/Pathway
Pathways of nucleic acid metabolism and innate immune sensing,innate immune system
SARS-CoV-2 B.1.1.7 variant antagonises innate immune activation,innate immune system
response to insulin,insulin pathway
insulin metabolic process,insulin pathway
cellular response to insulin stimulus,insulin pathway
insulin receptor signaling pathway,insulin pathway
negative regulation of insulin secretion,insulin pathway
regulation of insulin secretion,insulin pathway
insulin secretion,insulin pathway
positive regulation of insulin secretion,insulin pathway
regulation of insulin receptor signaling pathway,insulin pathway
negative regulation of insulin receptor signaling pathway,insulin pathway
negative regulation of cellular response to insulin stimulus,insulin pathway
regulation of cellular response to insulin stimulus,insulin pathway
positive regulation of cellular response to insulin stimulus,insulin pathway
insulin secretion involved in cellular response to glucose stimulus,insulin pathway
positive regulation of insulin receptor signaling pathway,insulin pathway
positive regulation of insulin secretion involved in cellular response to glucose stimulus,insulin pathway
regulation of insulin secretion involved in cellular response to glucose stimulus,insulin pathway
Leptin-insulin signaling overlap,insulin pathway
Insulin receptor signalling cascade,insulin pathway
Signaling by Insulin receptor,insulin pathway
Insulin secretion,insulin pathway
Insulin processing,insulin pathway
Insulin signaling pathway,insulin pathway
Regulation of insulin secretion,insulin pathway
Acetylcholine regulates insulin secretion,insulin pathway
Insulin receptor recycling,insulin pathway
"Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)",insulin pathway
Glucagon-like Peptide-1 (GLP1) regulates insulin secretion,insulin pathway
"Adrenaline,noradrenaline inhibits insulin secretion",insulin pathway
Insulin signaling in adipocytes (normal condition),insulin pathway
Signaling by insulin receptor,insulin pathway
Insulin signaling in adipocytes (diabetic condition),insulin pathway
type I interferon signaling pathway,Interferon signaling
Interferon gamma signaling,Interferon signaling
DDX58/IFIH1-mediated induction of interferon-alpha/beta,Interferon signaling
Interferon alpha/beta signaling,Interferon signaling
Overview of interferons-mediated signaling pathway,Interferon signaling
Host-pathogen interaction of human coronaviruses - interferon induction,Interferon signaling
Type I interferon induction and signaling during SARS-CoV-2 infection,Interferon signaling
Interferon type I signaling pathways,Interferon signaling
Type II interferon signaling,Interferon signaling
Interferon Signaling,Interferon signaling
Type III interferon signaling,Interferon signaling
interleukin-2 production,Interleukin-2 signaling
regulation of interleukin-2 production,Interleukin-2 signaling
negative regulation of interleukin-2 production,Interleukin-2 signaling
positive regulation of interleukin-2 production,Interleukin-2 signaling
IL-2 signaling pathway,Interleukin-2 signaling
"Interleukin-3, Interleukin-5 and GM-CSF signaling","Interleukin-3, Interleukin-5 and GM-CSF signaling"
IL-3 signaling pathway,"Interleukin-3, Interleukin-5 and GM-CSF signaling"
negative regulation of leukocyte proliferation,leukocyte proliferation
leukocyte proliferation,leukocyte proliferation
regulation of leukocyte proliferation,leukocyte proliferation
positive regulation of leukocyte proliferation,leukocyte proliferation
Prostaglandin and leukotriene metabolism in senescence,leukotrienes
Synthesis of Leukotrienes (LT) and Eoxins (EX),leukotrienes
Leukotriene metabolic pathway,leukotrienes
Leukotriene receptors,leukotrienes
linoleic acid metabolic process,linoleic acid metabolism
Linoleic acid metabolism affected by SARS-CoV-2,linoleic acid metabolism
alpha-linolenic (omega3) and linoleic (omega6) acid metabolism,linoleic acid metabolism
Linoleic acid (LA) metabolism,linoleic acid metabolism
Alpha-linolenic (omega-3) and linoleic (omega-6) acid metabolism,linoleic acid metabolism
Linoleic acid oxylipin metabolism,linoleic acid metabolism
Linoleic acid metabolism,linoleic acid metabolism
ether lipid metabolic process,Lipid metabolism
positive regulation of lipid metabolic process,Lipid metabolism
glycerolipid metabolic process,Lipid metabolism
regulation of lipid metabolic process,Lipid metabolism
neutral lipid metabolic process,Lipid metabolism
membrane lipid metabolic process,Lipid metabolism
glycolipid metabolic process,Lipid metabolism
negative regulation of lipid metabolic process,Lipid metabolism
regulation of membrane lipid metabolic process,Lipid metabolism
Ether lipid metabolism,Lipid metabolism
Regulation of lipid metabolism by PPARalpha,Lipid metabolism
Nuclear receptors in lipid metabolism and toxicity,Lipid metabolism
Glycerolipid Metabolism,Lipid metabolism
Peroxisomal lipid metabolism,Lipid metabolism
Lipid metabolism pathway,Lipid metabolism
Lipid metabolism in senescent cells,Lipid metabolism
sphingolipid metabolic process,Lipid metabolism; sphingolipids
glycosphingolipid metabolic process,Lipid metabolism; sphingolipids
Sphingolipid metabolism,Lipid metabolism; sphingolipids
Sphingolipid metabolism in senescence,Lipid metabolism; sphingolipids
Glycosphingolipid metabolism,Lipid metabolism; sphingolipids
Sphingolipid metabolism: integrated pathway,Lipid metabolism; sphingolipids
Sphingolipid metabolism overview,Lipid metabolism; sphingolipids
Lacto series sphingolipid metabolism,Lipid metabolism; sphingolipids
Neolacto series sphingolipid metabolism,Lipid metabolism; sphingolipids
Ganglio sphingolipid metabolism,Lipid metabolism; sphingolipids
Ganglio series sphingolipid metabolism,Lipid metabolism; sphingolipids
Hydrolysis of LPC,LPC
negative regulation of lymphocyte mediated immunity,lymphocyte mediated immunity
regulation of lymphocyte mediated immunity,lymphocyte mediated immunity
lymphocyte mediated immunity,lymphocyte mediated immunity
positive regulation of lymphocyte mediated immunity,lymphocyte mediated immunity
negative regulation of lymphocyte proliferation,lymphocyte proliferation
positive regulation of lymphocyte proliferation,lymphocyte proliferation
regulation of lymphocyte proliferation,lymphocyte proliferation
lymphocyte proliferation,lymphocyte proliferation
positive regulation of peptidyl-lysine acetylation,lysine
regulation of peptidyl-lysine acetylation,lysine
peptidyl-lysine trimethylation,lysine
internal peptidyl-lysine acetylation,lysine
peptidyl-lysine acetylation,lysine
histone lysine methylation,lysine
peptidyl-lysine methylation,lysine
peptidyl-lysine modification,lysine
histone lysine demethylation,lysine
peptidyl-lysine dimethylation,lysine
negative regulation of peptidyl-lysine acetylation,lysine
peptidyl-lysine monomethylation,lysine
Lysine degradation,lysine
Lysine catabolism,lysine
PKMTs methylate histone lysines,lysine
methionine biosynthetic process,methionine
methionine metabolic process,methionine
S-adenosylmethionine metabolic process,methionine
peptidyl-methionine modification,methionine
Methionine Metabolism,methionine
Methionine salvage pathway,methionine
Cysteine and methionine catabolism,methionine
Methionine de novo and salvage pathway,methionine
negative regulation of mononuclear cell proliferation,mononuclear cell proliferation
positive regulation of mononuclear cell proliferation,mononuclear cell proliferation
regulation of mononuclear cell proliferation,mononuclear cell proliferation
mononuclear cell proliferation,mononuclear cell proliferation
Carboxylic acids and derivatives,N1-methyl-2-pyridone-5-carboxamide; The tricarboxylic acid cycle
Loss of MECP2 binding ability to the NCoR/SMRT complex,NCOR2
"Activation of NIMA Kinases NEK9, NEK6, NEK7",NEK7
neuron fate commitment,neuron fate commitment
ventral spinal cord interneuron fate commitment,neuron fate commitment
neurotrophin signaling pathway,Neurotrophin signaling pathway
Neurotrophin signaling pathway,Neurotrophin signaling pathway
Retrograde neurotrophin signalling,Neurotrophin signaling pathway
Nicotinate metabolism,Nicotinate and Nicotinamide Metabolism
RNA Polymerase II Transcription Initiation,None; transcirptional pathways
Phosphate bond hydrolysis by NUDT proteins,NUDT12; NUDT4
"Oligodendrocyte specification and differentiation, leading to myelin components for CNS",oligodendrocyte differentiation
response to oxidative stress,oxidative stress
negative regulation of oxidative stress-induced neuron death,oxidative stress
cellular response to oxidative stress,oxidative stress
regulation of oxidative stress-induced intrinsic apoptotic signaling pathway,oxidative stress
regulation of oxidative stress-induced neuron death,oxidative stress
regulation of cellular response to oxidative stress,oxidative stress
neuron death in response to oxidative stress,oxidative stress
regulation of response to oxidative stress,oxidative stress
regulation of oxidative stress-induced cell death,oxidative stress
intrinsic apoptotic signaling pathway in response to oxidative stress,oxidative stress
negative regulation of oxidative stress-induced cell death,oxidative stress
negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway,oxidative stress
cell death in response to oxidative stress,oxidative stress
positive regulation of oxidative stress-induced cell death,oxidative stress
negative regulation of response to oxidative stress,oxidative stress
positive regulation of response to oxidative stress,oxidative stress
Oxidative damage response,oxidative stress
SARS-CoV-2 mitochondrial chronic oxidative stress and endothelial dysfunction,oxidative stress
Oxidative stress response,oxidative stress
Oxidative Stress Induced Senescence,oxidative stress
Interactions between LOXL4 and oxidative stress pathway,oxidative stress
"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes",oxidative stress; transcirptional pathways
phosphatidylethanolamine metabolic process,PE
phosphatidylethanolamine acyl-chain remodeling,PE
phosphatidylethanolamine biosynthetic process,PE
positive regulation of platelet activation,platelet activating factor
regulation of platelet activation,platelet activating factor
platelet activation,platelet activating factor
negative regulation of platelet activation,platelet activating factor
Platelet activation,platelet activating factor
"Platelet activation, signaling and aggregation",platelet activating factor
peptidyl-proline modification,proline
proline transport,proline
proline transmembrane transport,proline
proline metabolic process,proline
peptidyl-proline hydroxylation to 4-hydroxy-L-proline,proline
peptidyl-proline hydroxylation,proline
Arginine and proline metabolism,proline
Proline catabolism,proline
prostaglandin metabolic process,prostaglandins
prostaglandin biosynthetic process,prostaglandins
regulation of prostaglandin secretion,prostaglandins
positive regulation of prostaglandin secretion,prostaglandins
prostaglandin secretion,prostaglandins
prostaglandin transport,prostaglandins
response to prostaglandin E,prostaglandins
response to prostaglandin,prostaglandins
cellular response to prostaglandin stimulus,prostaglandins
cellular response to prostaglandin E stimulus,prostaglandins
regulation of prostaglandin biosynthetic process,prostaglandins
Synthesis of Prostaglandins (PG) and Thromboxanes (TX),prostaglandins
Synthesis of PG,prostaglandins
Acyl chain remodelling of PG,prostaglandins
Pyrimidine nucleosides,Pyrimidine Metabolism
Pyrimidine nucleotides,Pyrimidine Metabolism
pyrimidine nucleotide metabolic process,Pyrimidine Metabolism
pyrimidine-containing compound metabolic process,Pyrimidine Metabolism
pyrimidine nucleobase metabolic process,Pyrimidine Metabolism
pyrimidine nucleoside triphosphate metabolic process,Pyrimidine Metabolism
pyrimidine deoxyribonucleotide metabolic process,Pyrimidine Metabolism
pyrimidine deoxyribonucleoside monophosphate metabolic process,Pyrimidine Metabolism
pyrimidine ribonucleoside triphosphate metabolic process,Pyrimidine Metabolism
pyrimidine nucleoside monophosphate metabolic process,Pyrimidine Metabolism
pyrimidine ribonucleotide metabolic process,Pyrimidine Metabolism
pyrimidine ribonucleoside monophosphate metabolic process,Pyrimidine Metabolism
pyrimidine nucleoside metabolic process,Pyrimidine Metabolism
pyrimidine ribonucleoside metabolic process,Pyrimidine Metabolism
Pyrimidine metabolism,Pyrimidine Metabolism
Pyrimidine metabolism and related diseases,Pyrimidine Metabolism
Biomarkers for pyrimidine metabolism disorders,Pyrimidine Metabolism
glucose catabolic process to pyruvate,Pyruvic acid
pyruvate metabolic process,Pyruvic acid
acetyl-CoA biosynthetic process from pyruvate,Pyruvic acid
Pyruvate metabolism,Pyruvic acid
Regulation of pyruvate dehydrogenase (PDH) complex,Pyruvic acid
Pyruvate metabolism and Citric Acid (TCA) cycle,Pyruvic acid; The tricarboxylic acid cycle
TCA cycle and deficiency of pyruvate dehydrogenase complex (PDHc),Pyruvic acid; The tricarboxylic acid cycle
regulation of leukocyte mediated immunity,Regulation of leukocyte mediated immunity
positive regulation of myeloid leukocyte mediated immunity,Regulation of leukocyte mediated immunity
regulation of myeloid leukocyte mediated immunity,Regulation of leukocyte mediated immunity
negative regulation of leukocyte mediated immunity,Regulation of leukocyte mediated immunity
myeloid leukocyte mediated immunity,Regulation of leukocyte mediated immunity
leukocyte mediated immunity,Regulation of leukocyte mediated immunity
positive regulation of leukocyte mediated immunity,Regulation of leukocyte mediated immunity
negative regulation of myeloid leukocyte mediated immunity,Regulation of leukocyte mediated immunity
Semaphorin interactions,SEMA3D; SEMA5B
Other semaphorin interactions,SEMA3D; SEMA5B
Signaling by Erythropoietin,Signaling by Erythropoietin
Erythropoietin activates Phospholipase C gamma (PLCG),Signaling by Erythropoietin
Erythropoietin activates Phosphoinositide-3-kinase (PI3K),Signaling by Erythropoietin
Erythropoietin activates STAT5,Signaling by Erythropoietin
Erythropoietin activates RAS,Signaling by Erythropoietin
Signaling by PDGF,Signaling by PDGF
PDGFR-beta pathway,Signaling by PDGF
Signaling by PDGFR in disease,Signaling by PDGF
Signaling by membrane-tethered fusions of PDGFRA or PDGFRB,Signaling by PDGF
PDGF pathway,Signaling by PDGF
Translation inhibitors in chronically activated PDGFRA cells,Signaling by PDGF; translational pathways
insulin-like growth factor receptor signaling pathway,Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)
positive regulation of insulin-like growth factor receptor signaling pathway,Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)
regulation of insulin-like growth factor receptor signaling pathway,Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)
Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R),Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)
Factors and pathways affecting insulin-like growth factor (IGF1)-Akt signaling,Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)
Defective SLC1A1 is implicated in schizophrenia 18 (SCZD18) and dicarboxylic aminoaciduria (DCBXA),SLC1A1
SLC transporter disorders,SLC1A1; SLC22A23; SLC39A11
Metal ion SLC transporters,SLC1A1; SLC22A23; SLC39A11
Zinc influx into cells by the SLC39 gene family,SLC39A11
sphingomyelin biosynthetic process,SM
sphingomyelin metabolic process,SM; Sphingomyelins
Sphingolipids,sphingolipids
sphingolipid mediated signaling pathway,sphingolipids
sphingolipid catabolic process,sphingolipids
sphingolipid biosynthetic process,sphingolipids
glycosphingolipid catabolic process,sphingolipids
glycosphingolipid biosynthetic process,sphingolipids
regulation of sphingolipid biosynthetic process,sphingolipids
Sphingolipid de novo biosynthesis,sphingolipids
Glycosphingolipid biosynthesis - lacto and neolacto series,sphingolipids
Glycosphingolipid biosynthesis - ganglio series,sphingolipids
Glycosphingolipid biosynthesis - globo and isoglobo series,sphingolipids
Lysosphingolipid and LPA receptors,sphingolipids
Kennedy pathway from sphingolipids,sphingolipids
Modulation of PI3K-Akt-mTOR signaling by bioactive sphingolipids,sphingolipids
"Degradation pathway of sphingolipids, including diseases",sphingolipids
Metabolism of sphingolipids in ER and Golgi apparatus,sphingolipids
Sphingolipid pathway,sphingolipids
sphingosine-1-phosphate receptor signaling pathway,sphingosine-1-phosphate
Defective ST3GAL3 causes MCT12 and EIEE15,ST3GAL3
Steroids and steroid derivatives,Sterols
cellular response to sterol,Sterols
sterol biosynthetic process,Sterols
intracellular sterol transport,Sterols
response to sterol,Sterols
regulation of sterol transport,Sterols
sterol transport,Sterols
Sterol regulatory element-binding proteins (SREBP) signaling,Sterols
Endogenous sterols,Sterols
T cell tolerance induction,T cell tolerance induction
regulation of T cell tolerance induction,T cell tolerance induction
TBC/RABGAPs,TBC1D9
triglyceride metabolic process,TG
triglyceride catabolic process,TG
triglyceride biosynthetic process,TG
negative regulation of triglyceride metabolic process,TG
regulation of sequestering of triglyceride,TG
sequestering of triglyceride,TG
regulation of triglyceride biosynthetic process,TG
regulation of triglyceride metabolic process,TG
regulation of triglyceride catabolic process,TG
positive regulation of triglyceride metabolic process,TG
triglyceride-rich lipoprotein particle remodeling,TG
positive regulation of triglyceride biosynthetic process,TG
triglyceride homeostasis,TG
positive regulation of triglyceride lipase activity,TG
Triglyceride biosynthesis,TG
Triglyceride metabolism,TG
Triglyceride catabolism,TG
NR1H2 & NR1H3 regulate gene expression linked to triglyceride lipolysis in adipose,TG
tricarboxylic acid cycle,The tricarboxylic acid cycle
The citric acid (TCA) cycle and respiratory electron transport,The tricarboxylic acid cycle
Citric acid cycle (TCA cycle),The tricarboxylic acid cycle
TCA cycle nutrient use and invasiveness of ovarian cancer,The tricarboxylic acid cycle
TCA cycle in senescence,The tricarboxylic acid cycle
TCA cycle (aka Krebs or citric acid cycle),The tricarboxylic acid cycle
tolerance induction,tolerance induction
regulation of tolerance induction,tolerance induction
positive regulation of tolerance induction,tolerance induction
regulation of transcription by RNA polymerase I,transcirptional pathways
transcription by RNA polymerase I,transcirptional pathways
negative regulation of DNA-binding transcription factor activity,transcirptional pathways
regulation of DNA-binding transcription factor activity,transcirptional pathways
positive regulation of NF-kappaB transcription factor activity,transcirptional pathways
regulation of transcription by RNA polymerase III,transcirptional pathways
negative regulation of NF-kappaB transcription factor activity,transcirptional pathways
ncRNA transcription,transcirptional pathways
positive regulation of transcription by RNA polymerase I,transcirptional pathways
rRNA transcription,transcirptional pathways
negative regulation of transcription by competitive promoter binding,transcirptional pathways
positive regulation of transcription of nucleolar large rRNA by RNA polymerase I,transcirptional pathways
DNA-templated transcription elongation,transcirptional pathways
positive regulation of transcription elongation by RNA polymerase II,transcirptional pathways
regulation of transcription of nucleolar large rRNA by RNA polymerase I,transcirptional pathways
snRNA transcription by RNA polymerase II,transcirptional pathways
transcription by RNA polymerase III,transcirptional pathways
positive regulation of DNA-binding transcription factor activity,transcirptional pathways
positive regulation of transcription by RNA polymerase III,transcirptional pathways
snRNA transcription,transcirptional pathways
regulation of viral transcription,transcirptional pathways
"positive regulation of DNA-templated transcription, elongation",transcirptional pathways
nucleolar large rRNA transcription by RNA polymerase I,transcirptional pathways
regulation of ncRNA transcription,transcirptional pathways
regulation of transcription elongation by RNA polymerase II,transcirptional pathways
DNA-templated transcription initiation,transcirptional pathways
mRNA transcription by RNA polymerase II,transcirptional pathways
transcription initiation at RNA polymerase II promoter,transcirptional pathways
mRNA transcription,transcirptional pathways
regulation of DNA-templated transcription elongation,transcirptional pathways
viral transcription,transcirptional pathways
transcription elongation by RNA polymerase II promoter,transcirptional pathways
positive regulation of transcription initiation by RNA polymerase II,transcirptional pathways
positive regulation of DNA-templated transcription initiation,transcirptional pathways
regulation of transcription initiation by RNA polymerase II,transcirptional pathways
regulation of DNA-templated transcription initiation,transcirptional pathways
transcription preinitiation complex assembly,transcirptional pathways
regulation of transcription from RNA polymerase II promoter in response to stress,transcirptional pathways
regulation of DNA-templated transcription in response to stress,transcirptional pathways
positive regulation of miRNA transcription,transcirptional pathways
regulation of miRNA transcription,transcirptional pathways
miRNA transcription,transcirptional pathways
transcription initiation at RNA polymerase I promoter,transcirptional pathways
positive regulation of transcription from RNA polymerase II promoter in response to stress,transcirptional pathways
positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus,transcirptional pathways
epigenetic maintenance of chromatin in transcription-competent conformation,transcirptional pathways
"DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator",transcirptional pathways
"DNA damage response, signal transduction resulting in transcription",transcirptional pathways
negative regulation of viral transcription,transcirptional pathways
positive regulation by host of viral transcription,transcirptional pathways
positive regulation of transcription regulatory region DNA binding,transcirptional pathways
regulation of transcription regulatory region DNA binding,transcirptional pathways
DNA-templated transcription termination,transcirptional pathways
negative regulation of miRNA transcription,transcirptional pathways
negative regulation of transcription from RNA polymerase II promoter in response to stress,transcirptional pathways
cytoplasmic sequestering of transcription factor,transcirptional pathways
negative regulation by host of viral transcription,transcirptional pathways
positive regulation of post-transcriptional gene silencing,transcirptional pathways
positive regulation of post-transcriptional gene silencing by RNA,transcirptional pathways
positive regulation of CREB transcription factor activity,transcirptional pathways
positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress,transcirptional pathways
regulation of post-transcriptional gene silencing by RNA,transcirptional pathways
regulation of post-transcriptional gene silencing,transcirptional pathways
negative regulation of transcription regulatory region DNA binding,transcirptional pathways
"negative regulation of DNA-templated transcription, elongation",transcirptional pathways
transcription-coupled nucleotide-excision repair,transcirptional pathways
negative regulation of post-transcriptional gene silencing,transcirptional pathways
negative regulation of post-transcriptional gene silencing by RNA,transcirptional pathways
negative regulation of transcription elongation by RNA polymerase II,transcirptional pathways
mitochondrial transcription,transcirptional pathways
Transcriptional regulation by RUNX3,transcirptional pathways
Transcriptional regulation of granulopoiesis,transcirptional pathways
Nuclear Events (kinase and transcription factor activation),transcirptional pathways
Transcriptional activation of mitochondrial biogenesis,transcirptional pathways
Influenza Viral RNA Transcription and Replication,transcirptional pathways
FOXO-mediated transcription,transcirptional pathways
Transcriptional Regulation by MECP2,transcirptional pathways
Regulation of PTEN gene transcription,transcirptional pathways
Transcriptional Regulation by E2F6,transcirptional pathways
NGF-stimulated transcription,transcirptional pathways
Transcriptional regulation by small RNAs,transcirptional pathways
Transcriptional Regulation by VENTX,transcirptional pathways
G1/S-Specific Transcription,transcirptional pathways
Transcription of E2F targets under negative control by DREAM complex,transcirptional pathways
Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1,transcirptional pathways
Transcriptional regulation by MECP2,transcirptional pathways
p53 transcriptional gene network,transcirptional pathways
Transcriptional regulation by VENTX,transcirptional pathways
Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer,transcirptional pathways
Transcriptional regulation by RUNX2,transcirptional pathways
RUNX1 regulates transcription of genes involved in differentiation of HSCs,transcirptional pathways
Transcriptional regulation of testis differentiation,transcirptional pathways
Transcriptional regulation of white adipocyte differentiation,transcirptional pathways
SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription,transcirptional pathways
TP53 Regulates Transcription of DNA Repair Genes,transcirptional pathways
SUMOylation of transcription cofactors,transcirptional pathways
FOXO-mediated transcription of cell death genes,transcirptional pathways
NOTCH2 intracellular domain regulates transcription,transcirptional pathways
Transcription factor regulation in adipogenesis,transcirptional pathways
TP53 Regulates Transcription of Cell Death Genes,transcirptional pathways
RNA Polymerase II Transcription Elongation,transcirptional pathways
RNA Polymerase II Pre-transcription Events,transcirptional pathways
Nuclear Receptor transcription pathway,transcirptional pathways
Transcriptional misregulation in cancer,transcirptional pathways
SARS-CoV-1 Genome Replication and Transcription,transcirptional pathways
SARS-CoV-2 Genome Replication and Transcription,transcirptional pathways
Generic Transcription Pathway,transcirptional pathways
RNA Polymerase II Transcription,transcirptional pathways
Gene expression (Transcription),transcirptional pathways
Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors,transcirptional pathways
TFAP2A acts as a transcriptional repressor during retinoic acid induced cell differentiation,transcirptional pathways
Downregulation of SMAD2/3:SMAD4 transcriptional activity,transcirptional pathways
Transcriptional Regulation by TP53,transcirptional pathways
Transcription-Coupled Nucleotide Excision Repair (TC-NER),transcirptional pathways
TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain,transcirptional pathways
Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3,transcirptional pathways
Transcriptional Regulation by NPAS4,transcirptional pathways
Transcription of the HIV genome,transcirptional pathways
Regulation of FOXO transcriptional activity by acetylation,transcirptional pathways
RNA Polymerase II Transcription Termination,transcirptional pathways
RNA Polymerase I Transcription,transcirptional pathways
AMPK inhibits chREBP transcriptional activation activity,transcirptional pathways
NOTCH1 Intracellular Domain Regulates Transcription,transcirptional pathways
Activation of the AP-1 family of transcription factors,transcirptional pathways
TP53 Regulates Transcription of Genes Involved in Cytochrome C Release,transcirptional pathways
TP53 Regulates Transcription of Caspase Activators and Caspases,transcirptional pathways
RNA Polymerase II Transcription Initiation And Promoter Clearance,transcirptional pathways
Regulation of localization of FOXO transcription factors,transcirptional pathways
Abortive elongation of HIV-1 transcript in the absence of Tat,transcirptional pathways
Post-transcriptional silencing by small RNAs,transcirptional pathways
RNA Polymerase III Transcription Termination,transcirptional pathways
RUNX1 regulates estrogen receptor mediated transcription,transcirptional pathways
RUNX1 regulates transcription of genes involved in WNT signaling,transcirptional pathways
RNA Polymerase I Transcription Initiation,transcirptional pathways
RNA Polymerase II Transcription Pre-Initiation And Promoter Opening,transcirptional pathways
RNA Polymerase III Transcription Initiation,transcirptional pathways
RNA Polymerase III Transcription Initiation From Type 1 Promoter,transcirptional pathways
RNA Polymerase III Transcription Initiation From Type 2 Promoter,transcirptional pathways
RNA Polymerase III Transcription Initiation From Type 3 Promoter,transcirptional pathways
TP53 Regulates Transcription of Death Receptors and Ligands,transcirptional pathways
MECP2 regulates transcription of neuronal ligands,transcirptional pathways
RUNX1 regulates transcription of genes involved in differentiation of keratinocytes,transcirptional pathways
RNA Polymerase I Transcription Termination,transcirptional pathways
Notch-HLH transcription pathway,transcirptional pathways
NOTCH3 Intracellular Domain Regulates Transcription,transcirptional pathways
Transcriptional regulation of pluripotent stem cells,transcirptional pathways
RUNX3 regulates BCL2L11 (BIM) transcription,transcirptional pathways
SUMOylation of transcription factors,transcirptional pathways
Activation of the TFAP2 (AP-2) family of transcription factors,transcirptional pathways
TFAP2 (AP-2) family regulates transcription of growth factors and their receptors,transcirptional pathways
RUNX3 regulates CDKN1A transcription,transcirptional pathways
RUNX1 regulates transcription of genes involved in differentiation of myeloid cells,transcirptional pathways
Negative regulation of activity of TFAP2 (AP-2) family transcription factors,transcirptional pathways
RUNX1 regulates transcription of genes involved in interleukin signaling,transcirptional pathways
MECP2 regulates transcription factors,transcirptional pathways
RUNX3 regulates YAP1-mediated transcription,transcirptional pathways
RUNX1 regulates transcription of genes involved in BCR signaling,transcirptional pathways
NOTCH4 Intracellular Domain Regulates Transcription,transcirptional pathways
Transcriptional activation by NRF2 in response to phytochemicals,transcirptional pathways
Eukaryotic transcription initiation,transcirptional pathways
RNA Polymerase III Transcription,transcirptional pathways
Transcription factors regulate miRNAs related to cardiac hypertrophy,transcirptional pathways
Transcriptional cascade regulating adipogenesis,transcirptional pathways
Transcription co-factors SKI and SKIL protein partners,transcirptional pathways
Pre-NOTCH Transcription and Translation,transcirptional pathways; translational pathways
Translation of Replicase and Assembly of the Replication Transcription Complex,transcirptional pathways; translational pathways
Initiation of transcription and translation elongation at the HIV-1 LTR,transcirptional pathways; translational pathways
positive regulation of translation,translational pathways
positive regulation of translational initiation,translational pathways
cotranslational protein targeting to membrane,translational pathways
IRES-dependent viral translational initiation,translational pathways
tRNA aminoacylation for protein translation,translational pathways
regulation of translational initiation,translational pathways
aminoacyl-tRNA metabolism involved in translational fidelity,translational pathways
"SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition",translational pathways
formation of cytoplasmic translation initiation complex,translational pathways
viral translation,translational pathways
regulation of translational fidelity,translational pathways
regulation of translation,translational pathways
SRP-dependent cotranslational protein targeting to membrane,translational pathways
translational initiation,translational pathways
cytoplasmic translational initiation,translational pathways
negative regulation of translation,translational pathways
translational elongation,translational pathways
post-translational protein modification,translational pathways
mitochondrial translation,translational pathways
cytoplasmic translation,translational pathways
regulation of translational initiation by eIF2 alpha phosphorylation,translational pathways
regulation of translation in response to endoplasmic reticulum stress,translational pathways
regulation of translational initiation in response to stress,translational pathways
regulation of translation in response to stress,translational pathways
positive regulation of cytoplasmic translation,translational pathways
positive regulation of mitochondrial translation,translational pathways
translational termination,translational pathways
regulation of mitochondrial translation,translational pathways
regulation of cytoplasmic translation,translational pathways
miRNA-mediated gene silencing by inhibition of translation,translational pathways
'de novo' post-translational protein folding,translational pathways
formation of translation preinitiation complex,translational pathways
regulation of translational termination,translational pathways
negative regulation of translational initiation,translational pathways
post-translational protein targeting to endoplasmic reticulum membrane,translational pathways
regulation of translational elongation,translational pathways
regulation of cytoplasmic translational elongation,translational pathways
cytoplasmic translational elongation,translational pathways
SRP-dependent cotranslational protein targeting to membrane,translational pathways
L13a-mediated translational silencing of Ceruloplasmin expression,translational pathways
Translation initiation complex formation,translational pathways
Post-translational protein phosphorylation,translational pathways
Eukaryotic translation initiation,translational pathways
Eukaryotic Translation Termination,translational pathways
Mitochondrial translation initiation,translational pathways
Mitochondrial translation,translational pathways
Eukaryotic Translation Elongation,translational pathways
Viral mRNA Translation,translational pathways
Mitochondrial translation elongation,translational pathways
Mitochondrial translation termination,translational pathways
SARS-CoV-2 modulates host translation machinery,translational pathways
SARS-CoV-1 modulates host translation machinery,translational pathways
Eukaryotic translation termination,translational pathways
Translation factors,translational pathways
Eukaryotic translation elongation,translational pathways
