Analyte.Pathway,Outcome,Study,Analyte.Type,Paper,Measured.in.Datasets,,,"Supplementary Table 5. The compiled list of literature-supported pathways, gene sets, and compound classes for the asthma data."
TSPAN11,ER visit or hospitalization during clinical trial period,CAMP,Gene,21718536,Yes,,,
TTF2,ER visit or hospitalization during clinical trial period,CAMP,Gene,21718536,Yes,,,
TTN,Burst count,"CAMP, CARE, BioVU",Gene,26073756,Yes,,,
tyrosine,"Allergic sensitization to IgE (egg white, cow's milk, or inhalent)","In-house data set (China, ages 3-5)",Metabolite,32213896,Yes,,,
UBE2K,ER visit or hospitalization during clinical trial period,CAMP,Gene,21718536,Yes,,,
UNC5C,ER visit or hospitalization during clinical trial period,CAMP,Gene,21718536,Yes,,,
UST,ER visit or hospitalization during clinical trial period,CAMP,Gene,21718536,Yes,,,
volatile organic compounds,"Asthma diagnosis, monitoring, treatment",Various,Metabolite class,31494234,No,,,
WSCD1,ER visit or hospitalization during clinical trial period,CAMP,Gene,21718536,Yes,,,
WWOX,ER visit or hospitalization during clinical trial period,CAMP,Gene,21718536,Yes,,,
Xenobiotics,Asthma case/control,VDAART,Metabolite class,30360514,Yes,,,
XRCC6BP1,ER visit or hospitalization during clinical trial period,CAMP,Gene,21718536,Yes,,,
YIPF6,ER visit or hospitalization during clinical trial period,CAMP,Gene,21718536,Yes,,,
ZBP1,ER visit or hospitalization during clinical trial period,CAMP,Gene,21718536,Yes,,,
ZCCHC24,Vitamin D level,"CAMP, GACRS, Hartford & Puerto Rico",Gene,22673963,Yes,,,
