Ingenuity_Canonical_Pathways,_-log(p-value),Ratio,z-score,Molecules
HMGB1_Signaling,1.65E+00,7.78E-02,-1,"ICAM1,IFNGR1,IFNGR2,IL12A,IL36B,JUN,KAT2A,MAPK12,PIK3CD,RHOBTB2,SERPINE1,TGFB2,TNFSF13"
Fatty_Acid_Activation,1.65E+00,2.00E-01,NaN,"ACSL1,SLC27A4,SLC27A5"
Arginine_Biosynthesis_IV,1.64E+00,3.33E-01,NaN,"ASL,ASS1"
Urea_Cycle,1.64E+00,3.33E-01,NaN,"ASL,ASS1"
Gαq_Signaling,1.60E+00,7.65E-02,-1.732,"ADRA1B,AVPR1A,GNA14,GNB3,HRH1,ITPR1,NFATC2,PIK3CD,PPP3R2,PRKCD,RGS16,RGS4,RHOBTB2"
Clathrin-mediated_Endocytosis_Signaling,1.56E+00,7.21E-02,NaN,"AP5S1,APOB,APOE,CLU,FGF13,FGF17,FGF5,ITGA5,ITGB7,PCYOX1,PDGFB,PIK3CD,PPP3R2,PROK1,SH3KBP1"
GABAergic_Receptor_Signaling_Pathway_(Enhanced),1.52E+00,7.91E-02,0.302,"ADCY9,CACNA2D4,CACNB2,CATSPER3,CNTNAP1,GABRB1,GABRR3,GLUL,GNB3,GRIN3A,ITPR1"
1D-myo-inositol_Hexakisphosphate_Biosynthesis_II_(Mammalian),1.50E+00,1.76E-01,NaN,"INPP5J,ITPKC,OCRL"
"D-myo-inositol_(1,3,4)-trisphosphate_Biosynthesis",1.50E+00,1.76E-01,NaN,"INPP5J,ITPKC,OCRL"
Trehalose_Degradation_II_(Trehalase),1.50E+00,2.86E-01,NaN,"HK1,HK2"
Gαi_Signaling,1.50E+00,7.86E-02,-1.265,"ADCY9,ADRA2A,CNR1,FPR1,GNA14,GNB3,HTR1D,NPY1R,PTGER3,RGS4,S1PR3"
LXR/RXR_Activation,1.49E+00,8.13E-02,0.333,"APOB,APOE,CLU,HPX,IL1RAPL2,IL1RL2,IL36B,MSR1,PCYOX1,SERPINF1"
IL-15_Production,1.49E+00,8.13E-02,-1.265,"DYRK3,EPHA5,FGFR4,ITK,JAK1,JAK3,LYN,MUSK,PTK6,SRMS"
MSP-RON_Signaling_Pathway,1.49E+00,1.03E-01,NaN,"IL12A,IL3RA,KLK14,MST1,PIK3CD,TLR2"
Role_of_Chondrocytes_in_Rheumatoid_Arthritis_Signaling_Pathway,1.48E+00,7.80E-02,-2.111,"IL17RA,IL1RAPL2,IL1RL2,IL36B,ITGA5,JUN,MAPK12,MMP23B,PPP3R2,PROK1,TLR2"
Regulation_of_the_Epithelial-Mesenchymal_Transition_Pathway,1.48E+00,7.18E-02,NaN,"FGF13,FGF17,FGF5,FGFR4,FZD3,FZD7,HGF,JAK1,JAK3,PIK3CD,TGFB2,TWIST2,WNT2,WNT2B"
Heparan_Sulfate_Biosynthesis,1.48E+00,8.89E-02,-2.828,"CHST2,CHST4,EXTL1,EXTL2,HS3ST3B1,HS3ST4,HS6ST1,HS6ST3"
Regulation_of_Cellular_Mechanics_by_Calpain_Protease,1.48E+00,8.89E-02,NaN,"ACTN1,CAPN1,CAPN5,CCND3,ITGA5,ITGA9,ITGB7,TLN2"
Paxillin_Signaling,1.47E+00,8.41E-02,-1.89,"ACTN1,ITGA5,ITGA9,ITGB7,MAPK12,NCK2,PAK1,PIK3CD,TLN2"
D-myo-inositol-5-phosphate_Metabolism,1.46E+00,7.14E-02,-3.317,"ATP1A1,DUSP10,DUSP2,DUSP4,DUSP5,ENPP1,MTMR8,OCRL,PPP3R2,PTPRC,PTPRN,PTPRO,SIRPA,SOCS3"
ERK/MAPK_Signaling,1.45E+00,6.98E-02,-1.508,"CREB3L1,DUSP2,DUSP4,ELK3,ETS2,ITGA5,ITGA9,ITGB7,MYCN,PAK1,PIK3CD,PLA2G2A,PRKCD,TLN2,YWHAH"
Caveolar-mediated_Endocytosis_Signaling,1.44E+00,9.33E-02,NaN,"CD55,DYRK3,FLNC,ITGA5,ITGA9,ITGB7,MR1"
ABRA_Signaling_Pathway,1.43E+00,8.70E-02,-2.121,"ACTN1,JUNB,MAPK12,MEF2A,MEF2C,PPP3R2,PROK1,TPM3"
Autophagy,1.42E+00,6.91E-02,0,"ATG10,ATG16L1,ATG5,ATG7,BCL2,CREB3L1,HGF,IRS2,JUN,MAPK12,PDGFB,PI4K2A,PIK3CD,PPP3R2,TGFB2"
Macropinocytosis_Signaling,1.42E+00,9.21E-02,-2.236,"HGF,ITGA5,ITGB7,PAK1,PDGFB,PIK3CD,PRKCD"
GP6_Signaling_Pathway,1.41E+00,7.87E-02,-2.333,"COL10A1,COL12A1,COL7A1,ITK,ITPR1,LAMA2,LCP2,LYN,PIK3CD,PRKCD"
Sperm_Motility,1.39E+00,6.61E-02,-1.633,"DYRK3,EPHA5,FGFR4,GNA14,GNB3,ITK,ITPR1,JAK1,JAK3,LYN,MUSK,PDE1B,PLA2G2A,PRKCD,PRKG1,PTK6,SRMS"
tRNA_Splicing,1.39E+00,1.09E-01,0,"ENPP1,PDE1B,PDE6B,PDE6C,PDE9A"
IL-23_Signaling_Pathway,1.39E+00,1.09E-01,-1,"IL12RB1,IL12RB2,PIK3CD,RUNX1,SOCS3"
Glutamine_Biosynthesis_I,1.38E+00,1.00E+00,NaN,GLUL
γ-linolenate_Biosynthesis_II_(Animals),1.38E+00,1.58E-01,NaN,"ACSL1,SLC27A4,SLC27A5"
Purine_Nucleotides_Degradation_II_(Aerobic),1.38E+00,1.58E-01,NaN,"GDA,NT5C1B,XDH"
Mitochondrial_L-carnitine_Shuttle_Pathway,1.38E+00,1.58E-01,NaN,"ACSL1,SLC27A4,SLC27A5"
Gustation_Pathway,1.37E+00,6.93E-02,-1.069,"ADCY9,ASIC3,CACNA2D4,CACNB2,CATSPER3,FFAR4,GABRB1,GABRR3,GNB3,ITPR1,KCNQ3,LIPC,SLC2A4,SLC5A1"
VDR/RXR_Activation,1.37E+00,8.97E-02,0,"BGLAP,CST6,IL12A,PRKCD,SPP1,TGFB2,VDR"
Toll-like_Receptor_Signaling,1.37E+00,8.97E-02,-1.342,"IL12A,IL36B,IRAK2,JUN,MAPK12,TAB1,TLR2"
Senescence_Pathway,1.35E+00,6.35E-02,-3,"ATF3,CACNA2D4,CACNB2,CAPN1,CAPN5,CCND3,ELK3,ETS2,JUN,MAPK12,MAPK4,NFATC2,PDK3,PIK3CD,PPP3R2,RASSF5,SERPINE1,TGFB2,TLR2"
Ephrin_A_Signaling,1.35E+00,1.06E-01,NaN,"EPHA5,EPHA7,NGEF,PAK1,PIK3CD"
Opioid_Signaling_Pathway,1.35E+00,6.43E-02,-1.291,"ADCY9,CACNA2D4,CACNB2,CATSPER3,CREB3L1,GNA14,GNB3,GRIN3A,ITPR1,LYN,MAPK12,MAPK4,PDE1B,PPP3R2,PRKCD,RGS16,RGS4,RPS6KA3"
Acute_Phase_Response_Signaling,1.34E+00,7.03E-02,-0.632,"C1R,CP,HPX,IL36B,JUN,MAPK12,PIK3CD,SERPINA3,SERPINE1,SERPINF1,SERPING1,SOCS3,TAB1"
TGF-β_Signaling,1.34E+00,8.33E-02,-0.447,"BCL2,JUN,MAPK12,SERPINE1,TAB1,TFE3,TGFB2,VDR"
Role_of_NFAT_in_Cardiac_Hypertrophy,1.32E+00,6.70E-02,-1.941,"ADCY9,CACNA2D4,CACNB2,CATSPER3,GNB3,HDAC10,ITPR1,MAPK12,MEF2A,MEF2C,PIK3CD,PPP3R2,PRKCD,RCAN3,TGFB2"
CXCR4_Signaling,1.32E+00,7.14E-02,-1,"ADCY9,ELMO3,GNA14,GNB3,ITPR1,JUN,LYN,MAPK12,PAK1,PIK3CD,PRKCD,RHOBTB2"
PFKFB4_Signaling_Pathway,1.32E+00,1.04E-01,-2,"CREB3L1,HK1,HK2,TGFB2,XDH"
Androgen_Biosynthesis,1.32E+00,1.50E-01,NaN,"HSD3B2,SRD5A1,SRD5A2"
GABA_Receptor_Signaling,1.31E+00,7.58E-02,NaN,"ADCY9,CACNA2D4,CACNB2,CATSPER3,GABRB1,GABRR3,GNA14,GNB3,ITPR1,KCNQ3"
IL-17_Signaling,1.31E+00,6.95E-02,-1.941,"CCL22,DEFB124,IL12A,IL17RA,IL36B,JAK1,JUN,MAPK12,PIK3CD,PROK1,RGS16,TGFB2,TNFSF13"
Actin_Cytoskeleton_Signaling,1.31E+00,6.56E-02,-2.53,"ACTN1,FGF13,FGF17,FGF5,ITGA5,ITGA9,ITGB7,MSN,MYH3,PAK1,PDGFB,PIK3CD,SLC9A1,TIAM1,TLN2,TMSB10/TMSB4X"
BEX2_Signaling_Pathway,1.27E+00,8.54E-02,-1.134,"BCL2,JUN,MAPK12,PLXNC1,PROK1,SPP1,SWAP70"
Hepatic_Cholestasis,1.25E+00,6.81E-02,NaN,"ABCC3,ADCY9,FGFR4,IL12A,IL1RAPL2,IL1RL2,IL36B,IRAK2,JUN,MAPK12,PRKCD,TGFB2,TNFSF13"
Agranulocyte_Adhesion_and_Diapedesis,1.25E+00,6.67E-02,NaN,"CCL22,CCR9,CLDN15,CXCL6,HRH1,ICAM1,IL36B,ITGA5,ITGB7,MMP23B,MSN,MYH3,XCL1,XCL2"
WNT/Ca+_pathway,1.25E+00,9.09E-02,-1.342,"CREB3L1,FZD3,FZD7,NFATC2,PDE6B,PDE6C"
Glutamate_Receptor_Signaling,1.25E+00,9.09E-02,NaN,"GLUL,GNB3,GRIA1,GRIN3A,GRIP1,SLC38A1"
Coagulation_System,1.25E+00,1.14E-01,1,"BDKRB2,F3,SERPINA5,SERPINE1"
Cachexia_Signaling_Pathway,1.25E+00,5.98E-02,-2.558,"ADCY9,BCL2,CAPN1,CAPN5,IFNGR1,IFNGR2,IL12A,IL1RAPL2,IL1RL2,IL36B,MAPK12,MEF2C,PIK3CD,PRKCD,PSMD1,PTHLH,SLC2A4,SOCS3,STAT6,TGFB2,TNFRSF12A,TNFSF13"
Role_of_Osteoclasts_in_Rheumatoid_Arthritis_Signaling_Pathway,1.25E+00,6.17E-02,-2.828,"BCL2,BIRC3,COL10A1,COL12A1,COL7A1,CREB3L1,CTNNA3,IL1RAPL2,IL1RL2,ITGA5,JUN,LCP2,MAPK12,MMP23B,PIK3CD,PPP3R2,RHOBTB2,SPP1,TNFRSF11A"
Role_of_PKR_in_Interferon_Induction_and_Antiviral_Response,1.24E+00,7.35E-02,-1.89,"ATF3,IFNGR1,IFNGR2,JAK1,JUN,MAPK12,MSR1,NLRP6,PDGFB,SCARA3"
Molecular_Mechanisms_of_Cancer,1.24E+00,5.78E-02,NaN,"ADCY9,ARHGEF3,BCL2,BIRC3,CCND3,CDK15,FZD3,FZD7,GNA14,GNB3,HDAC10,ITGA5,ITGA9,ITGB7,JAK1,JAK3,JUN,MAPK12,PAK1,PIK3CD,PRKCD,RHOBTB2,TAB1,TGFB2,WNT2,WNT2B"
CD40_Signaling,1.23E+00,8.96E-02,-1.342,"ICAM1,JAK3,JUN,MAPK12,PIK3CD,PTGS1"
IL-17A_Signaling_in_Airway_Cells,1.23E+00,8.96E-02,-1.633,"CXCL6,IL17RA,JAK1,JAK3,MAPK12,PIK3CD"
WNT/β-catenin_Signaling,1.23E+00,6.90E-02,0,"CSNK1E,DKK1,DKK2,DKK3,FZD3,FZD7,JUN,KREMEN1,TAB1,TGFB2,WNT2,WNT2B"
Integrin_Signaling,1.23E+00,6.60E-02,-2.887,"ACTN1,ARHGAP26,CAPN1,CAPN5,ITGA5,ITGA9,ITGB7,NCK2,PAK1,PDGFB,PIK3CD,RHOBTB2,TLN2,TSPAN2"
Protein_Kinase_A_Signaling,1.22E+00,5.84E-02,0.655,"ADCY9,CREB3L1,DUSP10,DUSP2,DUSP3,DUSP4,DUSP5,ENPP1,FLNC,GNB3,ITPR1,NFATC2,PDE1B,PDE6B,PDE6C,PDE9A,PPP3R2,PRKCD,PTPRC,PTPRN,PTPRO,SIRPA,TGFB2,YWHAH"
Neurovascular_Coupling_Signaling_Pathway,1.22E+00,6.47E-02,-2.138,"BDKRB2,CACNA2D4,CACNB2,CATSPER3,GABRB1,GABRR3,GRIA1,GRIN3A,ITPR1,KCNMA1,LRRC55,PLA2G2A,PRKG1,PTGER4,PTGS1"
Interferon_Signaling,1.22E+00,1.11E-01,-1,"BCL2,IFNGR1,IFNGR2,JAK1"
"Superpathway_of_D-myo-inositol_(1,4,5)-trisphosphate_Metabolism",1.21E+00,1.36E-01,NaN,"INPP5J,ITPKC,OCRL"
Acetylcholine_Receptor_Signaling_Pathway,1.21E+00,6.70E-02,-3.051,"ADCY9,BCL2,CACNA2D4,CACNB2,CATSPER3,CHAT,CREB3L1,GNA14,ITPR1,PIK3CD,PRKCD,SLC18A3,SLC5A7"
Xenobiotic_Metabolism_CAR_Signaling_Pathway,1.21E+00,6.70E-02,-1.941,"ABCC3,CHST2,CHST4,CYP3A4,GRIP1,GSTM2,HS3ST3B1,HS3ST4,HS6ST1,HS6ST3,MGST1,PRKCD,UGT2A1"
White_Adipose_Tissue_Browning_Pathway,1.21E+00,7.25E-02,-0.378,"ADCY9,CACNA2D4,CACNB2,CATSPER3,CREB3L1,FGFR4,ITPR1,MAPK12,PRKG1,TRPV1"
Prostanoid_Biosynthesis,1.21E+00,2.00E-01,NaN,"CYP2S1,PTGS1"
Calcium_Transport_I,1.21E+00,2.00E-01,NaN,"ATP2B1,ATP2B3"
Nitric_Oxide_Signaling_in_the_Cardiovascular_System,1.21E+00,7.50E-02,-2.646,"BDKRB2,CACNA2D4,CACNB2,ITPR1,PDE1B,PIK3CD,PRKCD,PRKG1,PROK1"
Xenobiotic_Metabolism_PXR_Signaling_Pathway,1.20E+00,6.67E-02,-1.941,"ABCC3,CHST2,CHST4,CYP3A4,GRIP1,GSTM2,HS3ST3B1,HS3ST4,HS6ST1,HS6ST3,MGST1,PRKCD,UGT2A1"
UVB-Induced_MAPK_Signaling,1.19E+00,9.62E-02,-1.342,"JUN,MAPK12,PIK3CD,PRKCD,RPS6KA3"
Complement_System,1.18E+00,1.08E-01,NaN,"C1R,C3AR1,CD55,SERPING1"
Agrin_Interactions_at_Neuromuscular_Junction,1.18E+00,8.70E-02,-1.342,"JUN,LAMA2,MAPK12,MUSK,NRG1,PAK1"
Synaptogenesis_Signaling_Pathway,1.17E+00,6.03E-02,-3.638,"ADCY9,APOE,CACNB2,CDH18,CNTNAP1,CREB3L1,EFNB3,EPHA5,EPHA7,EPHB6,GRIA1,GRIN3A,ITPR1,LYN,MAP1B,PAK1,PIK3CD,PRKCD,TIAM1"
Vitamin-C_Transport,1.17E+00,1.30E-01,NaN,"GLRX,SLC2A3,SLC2A4"
Apelin_Endothelial_Signaling_Pathway,1.16E+00,7.09E-02,-1.414,"ADCY9,GNA14,GNB3,ICAM1,JUN,MAPK12,MEF2A,MEF2C,PIK3CD,PRKCD"
PDGF_Signaling,1.16E+00,8.05E-02,-2.646,"INPP5J,JAK1,JAK3,JUN,OCRL,PDGFB,PIK3CD"
Natural_Killer_Cell_Signaling,1.16E+00,6.57E-02,-1.387,"COL10A1,IL12A,IL12RB1,IL12RB2,IL2RB,JAK3,KIR2DL1/KIR2DL3,LCP2,MAPK12,NFATC2,PAK1,PIK3CD,RASSF5"
Phototransduction_Pathway,1.14E+00,9.26E-02,NaN,"GNB3,OPN3,PDE6B,PDE6C,RCVRN"
GDP-glucose_Biosynthesis,1.13E+00,1.82E-01,NaN,"HK1,HK2"
Adrenergic_Receptor_Signaling_Pathway_(Enhanced),1.13E+00,6.50E-02,-1.387,"ADCY9,ADRA1B,ADRA2A,ATP6V1B2,CACNA2D4,CACNB2,CATSPER3,IL12A,IL36B,ITPR1,PRKCD,TGFB2,TNFSF13"
IL-22_Signaling,1.12E+00,1.25E-01,NaN,"JAK1,MAPK12,SOCS3"
ILK_Signaling,1.12E+00,6.47E-02,-1.508,"ACTN1,CREB3L1,FLNC,IRS2,ITGB7,JUN,MAPK12,MYH3,NCK2,PIK3CD,PROK1,RHOBTB2,TMSB10/TMSB4X"
Ephrin_B_Signaling,1.11E+00,8.33E-02,-2.236,"EFNB3,EPHB6,GNA14,GNB3,NCK2,PAK1"
Cardiac_Hypertrophy_Signaling,1.10E+00,6.13E-02,-1.941,"ADCY9,ADRA1B,ADRA2A,CACNA2D4,CACNB2,GNA14,GNB3,JUN,MAPK12,MEF2A,MEF2C,PIK3CD,PPP3R2,RHOBTB2,TAB1,TGFB2"
CDX_Gastrointestinal_Cancer_Signaling_Pathway,1.10E+00,6.44E-02,1.387,"FZD3,FZD7,IL12A,IL36B,JAK1,JAK3,JUN,MAPK12,PIK3CD,TGFB2,TNFSF13,WNT2,WNT2B"
Immunogenic_Cell_Death_Signaling_Pathway,1.09E+00,7.78E-02,-1.89,"ANXA1,ATG16L1,ATG5,BCL2,FPR1,IFNGR1,IFNGR2"
Threonine_Degradation_II,1.09E+00,5.00E-01,NaN,GCAT
EGF_Signaling,1.09E+00,8.93E-02,-1.342,"ITPR1,JAK1,JUN,MAPK12,PIK3CD"
RANK_Signaling_in_Osteoclasts,1.08E+00,7.69E-02,-1.633,"BIRC3,JUN,MAPK12,NFATC2,PIK3CD,PPP3R2,TNFRSF11A"
Endocannabinoid_Cancer_Inhibition_Pathway,1.06E+00,6.80E-02,1.414,"ADCY9,ATF3,CCND3,CNR1,CREB3L1,GPR55,PIK3CD,PROK1,TRPV1,TWIST2"
Glucose_and_Glucose-1-phosphate_Degradation,1.06E+00,1.67E-01,NaN,"HK1,HK2"
ERK5_Signaling,1.06E+00,8.11E-02,-2.236,"CREB3L1,FOSL1,MEF2A,MEF2C,RPS6KA3,YWHAH"
GPCR-Mediated_Integration_of_Enteroendocrine_Signaling_Exemplified_by_an_L_Cell,1.04E+00,8.00E-02,0,"ADCY9,GLP2R,GNA14,GRP,GRPR,ITPR1"
Role_of_Tissue_Factor_in_Cancer,1.04E+00,6.28E-02,-3.051,"BCL2,F3,FGF5,FLNC,GNA14,HGF,JUN,LYN,MAPK12,MAPK4,PIK3CD,RPS6KA3,TGFB2"
IL-17A_Signaling_in_Gastric_Cells,1.04E+00,1.15E-01,NaN,"IL17RA,JUN,MAPK12"
ERBB_Signaling,1.04E+00,7.53E-02,-1.89,"JUN,MAPK12,NCK2,NRG1,PAK1,PIK3CD,PRKCD"
Dilated_Cardiomyopathy_Signaling_Pathway,1.02E+00,6.67E-02,-0.816,"ADCY9,BAG3,BCL2,CACNA2D4,CACNB2,CATSPER3,DSC2,ITPR1,MAPK12,MYH3"
April_Mediated_Signaling,1.02E+00,9.52E-02,-1,"JUN,MAPK12,NFATC2,TNFSF13"
PTEN_Signaling,1.01E+00,6.62E-02,0.707,"BCL2,FGFR4,INPP5J,ITGA5,ITGA9,ITGB7,OCRL,PIK3CD,TNFRSF11A,YWHAH"
UDP-N-acetyl-D-galactosamine_Biosynthesis_II,1.00E+00,1.54E-01,NaN,"HK1,HK2"
Prolactin_Signaling,1.00E+00,7.37E-02,-1.342,"JUN,KCNMA1,LRRC55,PIK3CD,PRKCD,PRLR,SOCS3"
GNRH_Signaling,9.94E-01,6.28E-02,-1.414,"ADCY9,CACNA2D4,CACNB2,CATSPER3,CREB3L1,GNA14,GNB3,ITPR1,JUN,MAPK12,PAK1,PRKCD"
Primary_Immunodeficiency_Signaling,9.87E-01,8.33E-02,NaN,"CD8A,ICOS,IL7R,JAK3,PTPRC"
IL-1_Signaling,9.82E-01,7.29E-02,0,"ADCY9,GNA14,GNB3,IRAK2,JUN,MAPK12,TAB1"
Factors_Promoting_Cardiogenesis_in_Vertebrates,9.79E-01,6.54E-02,-1.667,"CREB3L1,DKK1,FZD3,FZD7,MAPK12,MEF2C,PRKCD,TGFB2,WNT2,WNT2B"
Leukocyte_Extravasation_Signaling,9.69E-01,6.22E-02,-1.265,"ACTN1,CLDN15,CTNNA3,ICAM1,ITK,MAPK12,MMP23B,MSN,PIK3CD,PRKCD,RASSF5,SPN"
Maturity_Onset_Diabetes_of_Young_(MODY)_Signaling,9.59E-01,7.59E-02,NaN,"APOB,APOE,APOL2,APOL4,CACNA2D4,CACNB2"
Relaxin_Signaling,9.51E-01,6.45E-02,-1,"ADCY9,ENPP1,GNA14,GNB3,JUN,PDE1B,PDE6B,PDE6C,PDE9A,PIK3CD"
DNA_Double-Strand_Break_Repair_by_Homologous_Recombination,9.48E-01,1.43E-01,NaN,"ATRX,LIG1"
Role_of_IL-17A_in_Psoriasis,9.48E-01,1.43E-01,NaN,"CXCL6,IL17RA"
Urate_Biosynthesis/Inosine_5'-phosphate_Degradation,9.48E-01,1.43E-01,NaN,"NT5C1B,XDH"
PAK_Signaling,9.43E-01,6.84E-02,-1.633,"ITGA5,ITGA9,ITGB7,MAPK12,NCK2,PAK1,PDGFB,PIK3CD"
IL-2_Signaling,9.41E-01,8.06E-02,-2,"IL2RB,JAK1,JAK3,JUN,PIK3CD"
DHCR24_Signaling_Pathway,9.31E-01,6.57E-02,-1.667,"APOB,APOE,CLU,HPX,PCYOX1,PDGFB,PIK3CD,PRKCD,SERPINF1"
Apelin_Cardiomyocyte_Signaling_Pathway,9.30E-01,7.07E-02,-1.89,"ITPR1,MAPK12,MAPK4,PIK3CD,PRKCD,SLC9A1,SLC9A8"
Fc_Epsilon_RI_Signaling,9.28E-01,6.78E-02,-0.707,"INPP5J,LCP2,LYN,MAPK12,OCRL,PIK3CD,PLA2G2A,PRKCD"
Virus_Entry_via_Endocytic_Pathways,9.28E-01,6.78E-02,NaN,"AP5S1,CD55,FLNC,ITGA5,ITGB7,MR1,PIK3CD,PRKCD"
GPCR-Mediated_Nutrient_Sensing_in_Enteroendocrine_Cells,9.28E-01,6.78E-02,-2.646,"ADCY9,CACNA2D4,CACNB2,CATSPER3,FFAR4,GNA14,ITPR1,PRKCD"
Activin_Inhibin_Signaling_Pathway,9.23E-01,5.99E-02,-3.051,"COL10A1,FOSL1,FOSL2,IL1RAPL2,IL1RL2,IL36B,JUN,MAPK12,MAPK4,PIK3CD,SERPINE1,TGFB2,TLR2"
Uracil_Degradation_II_(Reductive),9.23E-01,3.33E-01,NaN,DPYD
Methylglyoxal_Degradation_I,9.23E-01,3.33E-01,NaN,HAGHL
Guanine_and_Guanosine_Salvage_I,9.23E-01,3.33E-01,NaN,HPRT1
Coenzyme_A_Biosynthesis,9.23E-01,3.33E-01,NaN,PPCS
Ascorbate_Recycling_(Cytosolic),9.23E-01,3.33E-01,NaN,GLRX
Hypusine_Biosynthesis,9.23E-01,3.33E-01,NaN,DHPS
Thymine_Degradation,9.23E-01,3.33E-01,NaN,DPYD
Anandamide_Degradation,9.23E-01,3.33E-01,NaN,NAAA
S-adenosyl-L-methionine_Biosynthesis,9.23E-01,3.33E-01,NaN,MAT2B
L-serine_Degradation,9.23E-01,3.33E-01,NaN,SDS
Cholecystokinin/Gastrin-mediated_Signaling,9.13E-01,6.72E-02,-1.89,"IL36B,ITPR1,JUN,MAPK12,MEF2A,MEF2C,PRKCD,RHOBTB2"
FLT3_Signaling_in_Hematopoietic_Progenitor_Cells,9.02E-01,7.32E-02,-1.342,"CREB3L1,FLT3,MAPK12,PIK3CD,RPS6KA3,STAT6"
JAK/STAT_Signaling,9.02E-01,7.32E-02,-1.633,"JAK1,JAK3,JUN,PIK3CD,SOCS3,STAT6"
Pulmonary_Healing_Signaling_Pathway,8.99E-01,6.03E-02,-1.732,"ETV5,FZD3,FZD7,LYN,MAPK12,MMP23B,PRKCD,PROK1,TGFB2,TLR2,WNT2,WNT2B"
Superpathway_of_Citrulline_Metabolism,8.97E-01,1.33E-01,NaN,"ASL,ASS1"
Oxytocin_Signaling_Pathway,8.89E-01,5.67E-02,-1.291,"ATP2B1,ATP2B3,CACNA2D4,CACNB2,CREB3L1,GNB3,ITPR1,MAPK12,MAPK4,MEF2C,MYH3,PIK3CD,PLA2G2A,PPP3R2,PRKCD,PRKG1"
Role_of_IL-17F_in_Allergic_Inflammatory_Airway_Diseases,8.86E-01,8.51E-02,NaN,"CREB3L1,CXCL6,IL17RA,RPS6KA3"
Cardiac_β-adrenergic_Signaling,8.86E-01,6.11E-02,0,"ADCY9,CACNA2D4,CACNB2,ENPP1,GNA14,GNB3,PDE1B,PDE6B,PDE6C,PDE9A,PKIA"
Glutaminergic_Receptor_Signaling_Pathway_(Enhanced),8.78E-01,5.54E-02,-2.357,"ADCY9,CACNA2D4,CACNB2,CATSPER3,CREB3L1,GABRB1,GABRR3,GLUL,GRIA1,GRIN3A,ITPR1,MAPK12,PIK3CD,PLA2G2A,PPP3R2,PRKCD,SLC38A1,TGFB2"
Human_Embryonic_Stem_Cell_Pluripotency,8.76E-01,5.97E-02,-2.887,"FGFR4,FZD3,FZD7,JAK1,JAK3,PDGFB,PIK3CD,PRKCD,TERT,TGFB2,WNT2,WNT2B"
Sertoli_Cell-Sertoli_Cell_Junction_Signaling,8.65E-01,5.76E-02,-1.604,"ACTN1,CDH18,CLDN15,CREB3L1,ICAM1,IL1RAPL2,IL1RL2,JUN,LAMA2,MAPK12,PAK1,PIK3CD,SYMPK,TUBB2A"
nNOS_Signaling_in_Skeletal_Muscle_Cells,8.62E-01,8.33E-02,NaN,"CACNA2D4,CACNB2,CATSPER3,ITPR1"
Myelination_Signaling_Pathway,8.61E-01,5.50E-02,-2.828,"CREB3L1,FGFR4,FZD3,FZD7,HDAC10,HES5,ITGB7,JUN,LAMA2,LYN,NFATC2,NRG1,PDGFB,PIK3CD,PPP3R2,RAPGEF2,WNT2,WNT2B"
"Bile_Acid_Biosynthesis,_Neutral_Pathway",8.51E-01,1.25E-01,NaN,"CYP3A4,SLC27A5"
"D-myo-inositol_(1,4,5)-trisphosphate_Degradation",8.51E-01,1.25E-01,NaN,"INPP5J,OCRL"
Adenosine_Nucleotides_Degradation_II,8.51E-01,1.25E-01,NaN,"NT5C1B,XDH"
Mouse_Embryonic_Stem_Cell_Pluripotency,8.49E-01,6.73E-02,-1.134,"FZD3,FZD7,JAK1,JAK3,MAPK12,PIK3CD,TAB1"
Signaling_by_Rho_Family_GTPases,8.34E-01,5.62E-02,-2.53,"ARHGEF3,CDC42EP3,CDH18,GNA14,GNB3,ITGA5,ITGA9,ITGB7,JUN,MAPK12,MSN,PAK1,PIK3CD,RHOBTB2,SLC9A1"
WNK_Renal_Signaling_Pathway,8.19E-01,6.60E-02,0,"ASIC3,BIRC3,IRS2,PIK3CD,PRKCD,SLC12A7,WNK4"
IL-17A_Signaling_in_Fibroblasts,8.15E-01,6.90E-02,-1.633,"ARID5A,BCL2,COL10A1,IL17RA,JUN,MAPK12"
Pancreatic_Adenocarcinoma_Signaling,8.13E-01,6.35E-02,-1.633,"BCL2,HDAC10,JAK1,JAK3,MAPK12,PIK3CD,PROK1,TGFB2"
Isoleucine_Degradation_I,8.08E-01,1.18E-01,NaN,"BCAT1,SDS"
PRPP_Biosynthesis_I,8.07E-01,2.50E-01,NaN,PRPS2
Spermine_and_Spermidine_Degradation_I,8.07E-01,2.50E-01,NaN,SAT2
Glutathione_Redox_Reactions_II,8.07E-01,2.50E-01,NaN,GLRX
"Fatty_Acid_β-oxidation_III_(Unsaturated,_Odd_Number)",8.07E-01,2.50E-01,NaN,ECI1
Amyloid_Processing,7.94E-01,7.84E-02,NaN,"CAPN1,CAPN5,CSNK1E,MAPK12"
GM-CSF_Signaling,7.82E-01,7.14E-02,NaN,"LYN,PIK3CD,PIM1,PPP3R2,RUNX1"
Eicosanoid_Signaling,7.82E-01,7.14E-02,NaN,"ALOX5AP,PLA2G2A,PTGER3,PTGER4,PTGS1"
IL-8_Signaling,7.82E-01,5.71E-02,-1.897,"BCL2,CCND3,GNA14,GNB3,ICAM1,IRAK2,JUN,MAPK12,PIK3CD,PRKCD,PROK1,RHOBTB2"
