Ingenuity_Canonical_Pathways,_-log(p-value),Ratio,z-score,Molecules
Glucocorticoid_Receptor_Signaling,0.00E+00,3.95E-02,NaN,"ARG2,BRCA1,DNALI1,GTF2H4,IFNA8,IL12RB2,IL1RL2,IL4,IRF3,KRT1,KRT3,NDUFA13,NDUFV2,NPPA,PFKFB1,POLR2H,PRL,SMARCE1,TAF15,TAF4,TYK2,VIPR1,YWHAH"
Natural_Killer_Cell_Signaling,0.00E+00,2.53E-02,-1.342,"IL12RB2,KIR2DL1/KIR2DL3,KIR3DL1,PLCG1,TYK2"
IL-10_Signaling,0.00E+00,2.60E-02,-1,"ARG2,CREB3L4,IL1RL2,TYK2"
Macrophage_Alternative_Activation_Signaling_Pathway,0.00E+00,2.12E-02,-1,"CREB3L4,FCER2,IL4,TYK2"
Neutrophil_Extracellular_Trap_Signaling_Pathway,0.00E+00,3.76E-02,-1.291,"AGER,ARG2,C5,CASP9,COL17A1,CTSG,GP1BA,IFNA8,NDUFA13,NDUFV2,NOX1,ORAI3,PAM16,PLCG1,PRTN3"
Neuregulin_Signaling,0.00E+00,8.55E-03,NaN,PLCG1
Circadian_Rhythm_Signaling,0.00E+00,1.87E-02,NaN,"CACNA1H,CIRBP,CREB3L4,OPN4,PLCG1"
Synaptic_Long_Term_Potentiation,0.00E+00,2.27E-02,NaN,"CREB3L4,GRM7,PLCG1"
Axonal_Guidance_Signaling,0.00E+00,3.53E-02,NaN,"ABL1,ADAM15,ADAMTS13,ADAMTS6,FZD1,FZD9,GLI3,KIF7,LINGO1,MMP17,MYL3,PLCG1,PLXNA3,ROBO3,STK36,WNT1,WNT10B,WNT7B"
Amyotrophic_Lateral_Sclerosis_Signaling,0.00E+00,1.72E-02,NaN,"CASP9,NEFL"
Fc_Epsilon_RI_Signaling,0.00E+00,3.39E-02,NaN,"IL4,INPP5B,INPPL1,PLCG1"
Actin_Cytoskeleton_Signaling,0.00E+00,2.46E-02,0.447,"ARHGEF1,FGF9,MYH1,MYH13,MYH3,MYL3"
Synaptic_Long_Term_Depression,0.00E+00,1.52E-02,NaN,"CACNA1H,GRM7,PLCG1"
Huntington's_Disease_Signaling,0.00E+00,3.52E-02,NaN,"CASP9,CREB3L4,HDAC6,POLR2H,PSMA2,RCOR3,REST,STX16,TAF4,TGM2"
Chaperone_Mediated_Autophagy_Signaling_Pathway,0.00E+00,1.10E-02,1.134,"HDAC6,HNF1A,MMP17,MST1,PSMA2,SLC2A2,SOX2"
IL-33_Signaling_Pathway,0.00E+00,3.78E-02,-0.378,"CASP9,CREB3L4,CTSG,IL4,IRF3,MAPKAPK2,TPSAB1/TPSB2"
NOD1/2_Signaling_Pathway,0.00E+00,3.70E-02,-1.134,"IFNA8,IL4,IRF3,MAPKAPK2,MAVS,RBCK1,TNFSF9"
ABRA_Signaling_Pathway,0.00E+00,2.17E-02,NaN,"IL4,MYL3"
Activin_Inhibin_Signaling_Pathway,0.00E+00,2.76E-02,-0.816,"HNF1A,IL1RL2,MAPK7,PRL,TCF7L1,TGIF2"
DHCR24_Signaling_Pathway,0.00E+00,1.46E-02,NaN,"HPX,REST"
Acetylcholine_Receptor_Signaling_Pathway,0.00E+00,3.09E-02,0.816,"CACNA1H,CASP9,CHRM2,CREB3L4,NCSTN,PLCG1"
Adrenergic_Receptor_Signaling_Pathway_(Enhanced),0.00E+00,2.50E-02,0.447,"ADRB3,CACNA1H,IL4,PLCG1,TNFSF9"
GABAergic_Receptor_Signaling_Pathway_(Enhanced),0.00E+00,2.16E-02,NaN,"CACNA1H,GABRB2,GABRD"
Glutaminergic_Receptor_Signaling_Pathway_(Enhanced),0.00E+00,2.46E-02,-1.414,"CACNA1H,CREB3L4,GABRB2,GABRD,GRM7,KCNK3,PLCG1,STX16"
Cachexia_Signaling_Pathway,0.00E+00,2.99E-02,1.508,"ADRB3,AGO3,CASP9,EIF2B1,EIF2B4,IL1RL2,IL4,MFN1,PSMA2,PTH1R,TNFSF9"
Microautophagy_Signaling_Pathway,0.00E+00,1.87E-02,NaN,"COL17A1,PSMA2,RHOT2"
NFKBIE_Signaling_Pathway,0.00E+00,2.23E-03,NaN,TNFSF9
Orexin_Signaling_Pathway,0.00E+00,8.40E-03,NaN,"CACNA1H,PLCG1"
Sertoli_Cell_Germ_Cell_Junction_Signaling_Pathway_(Enhanced),0.00E+00,8.47E-03,NaN,"CLDN16,IL1RL2"
NRF2-mediated_Oxidative_Stress_Response,0.00E+00,8.44E-03,NaN,"GSTM2,MAPK7"
PPARα/RXRα_Activation,0.00E+00,1.55E-02,NaN,"HELZ2,IL1RL2,PLCG1"
LPS/IL-1_Mediated_Inhibition_of_RXR_Function,0.00E+00,2.72E-02,NaN,"ACOX3,FABP3,FMO3,GSTM2,HS3ST2,IL1RL2,SLCO1B3"
p53_Signaling,0.00E+00,4.08E-02,NaN,"BRCA1,CDK4,MDM4,PIDD1"
Acute_Phase_Response_Signaling,0.00E+00,1.62E-02,NaN,"C5,HNF1A,HPX"
Hepatic_Cholestasis,0.00E+00,3.14E-02,NaN,"FGFR4,HNF1A,IL1RL2,IL4,SLCO1B3,TNFSF9"
LXR/RXR_Activation,0.00E+00,3.25E-02,0,"ARG2,HPX,IL1RL2,IRF3"
Hepatic_Fibrosis_/_Hepatic_Stellate_Cell_Activation,0.00E+00,3.61E-02,NaN,"COL17A1,IL1RL2,IL4,MYH1,MYH13,MYH3,MYL3"
FXR/RXR_Activation,0.00E+00,3.17E-02,NaN,"FGFR4,HNF1A,HPX,SLCO1B3"
Ceramide_Signaling,0.00E+00,1.10E-02,NaN,SMPD4
PXR/RXR_Activation,0.00E+00,3.08E-02,NaN,"GSTM2,SLCO1B3"
Regulation_of_Actin-based_Motility_by_Rho,0.00E+00,1.74E-02,NaN,"MYL3,RHOT2"
RAR_Activation,0.00E+00,3.03E-02,0.277,"CREB3L4,CYP26A1,DLK1,GTF2H4,IL4,PDE2A,RDH12,RET,RHOT2,SMARCE1,TAF4,TGM2,TNFSF9"
Erythropoietin_Signaling_Pathway,0.00E+00,2.84E-02,-0.447,"GATA1,IL4,PLCG1,TNFSF9,WNT1"
14-3-3-mediated_Signaling,0.00E+00,2.36E-02,NaN,"PLCG1,STRADA,YWHAH"
α-Adrenergic_Signaling,0.00E+00,1.83E-02,NaN,"PHKA2,PLCG1"
Caveolar-mediated_Endocytosis_Signaling,0.00E+00,1.33E-02,NaN,ABL1
Clathrin-mediated_Endocytosis_Signaling,0.00E+00,1.44E-02,NaN,"AP3B1,AP4B1,FGF9"
Fcγ_Receptor-mediated_Phagocytosis_in_Macrophages_and_Monocytes,0.00E+00,1.06E-02,NaN,PLCG1
IL-8_Signaling,0.00E+00,9.52E-03,NaN,"NOX1,RHOT2"
Role_of_Pattern_Recognition_Receptors_in_Recognition_of_Bacteria_and_Viruses,0.00E+00,3.85E-02,-1,"C5,IFNA8,IL4,IRF3,MAVS,TNFSF9"
Role_of_PKR_in_Interferon_Induction_and_Antiviral_Response,0.00E+00,3.68E-02,-1.342,"CASP9,IFNA8,IRF3,MAVS,TYK2"
TREM1_Signaling,0.00E+00,1.30E-02,NaN,PLCG1
Role_of_NFAT_in_Regulation_of_the_Immune_Response,0.00E+00,9.65E-04,NaN,PLCG1
FcγRIIB_Signaling_in_B_Lymphocytes,0.00E+00,1.88E-03,NaN,CACNA1H
CCR5_Signaling_in_Macrophages,0.00E+00,4.01E-03,NaN,"CACNA1H,PLCG1"
CD40_Signaling,0.00E+00,2.99E-02,NaN,"FCER2,MAPKAPK2"
Calcium-induced_T_Lymphocyte_Apoptosis,0.00E+00,2.17E-03,NaN,PLCG1
Cytotoxic_T_Lymphocyte-mediated_Apoptosis_of_Target_Cells,0.00E+00,2.35E-03,NaN,CASP9
CD27_Signaling_in_Lymphocytes,0.00E+00,1.75E-02,NaN,CASP9
Lymphotoxin_β_Receptor_Signaling,0.00E+00,1.82E-02,NaN,CASP9
IL-17_Signaling,0.00E+00,1.07E-02,NaN,"IL4,TNFSF9"
fMLP_Signaling_in_Neutrophils,0.00E+00,7.63E-03,NaN,NOX1
CXCR4_Signaling,0.00E+00,1.19E-02,NaN,"MYL3,RHOT2"
4-1BB_Signaling_in_T_Lymphocytes,0.00E+00,2.94E-02,NaN,TNFSF9
Thrombopoietin_Signaling,0.00E+00,1.59E-02,NaN,PLCG1
CTLA4_Signaling_in_Cytotoxic_T_Lymphocytes,0.00E+00,3.29E-03,NaN,"CD8A,PLCG1"
Induction_of_Apoptosis_by_HIV1,0.00E+00,1.54E-02,NaN,CASP9
Airway_Inflammation_in_Asthma,0.00E+00,3.03E-02,NaN,IL4
T_Helper_Cell_Differentiation,0.00E+00,6.37E-03,NaN,"BCL6,IL12RB2,IL4"
Oncostatin_M_Signaling,0.00E+00,2.33E-02,NaN,TYK2
CD28_Signaling_in_T_Helper_Cells,0.00E+00,1.93E-03,NaN,PLCG1
IL-15_Signaling,0.00E+00,3.79E-03,NaN,"IL4,TYK2"
Virus_Entry_via_Endocytic_Pathways,0.00E+00,3.39E-02,NaN,"ABL1,AP3B1,AP4B1,PLCG1"
Role_of_Cytokines_in_Mediating_Communication_between_Immune_Cells,0.00E+00,3.70E-02,NaN,"IFNA8,IL4"
Dendritic_Cell_Maturation,0.00E+00,5.04E-03,NaN,"CREB3L4,IL1RL2,PLCG1"
Reelin_Signaling_in_Neurons,0.00E+00,1.45E-02,NaN,"ARHGEF1,DNALI1"
HIF1α_Signaling,0.00E+00,2.40E-02,-0.447,"CAMK1G,MMP17,NOX1,PLCG1,SLC2A2"
Melatonin_Signaling,0.00E+00,2.78E-02,NaN,"GNRH1,PLCG1"
Angiopoietin_Signaling,0.00E+00,1.32E-02,NaN,CASP9
Neuropathic_Pain_Signaling_in_Dorsal_Horn_Neurons,0.00E+00,3.96E-02,1,"CAMK1G,GRM7,PLCG1,TAC1"
Endothelin-1_Signaling,0.00E+00,1.55E-02,NaN,"CASP9,MAPK7,PLCG1"
Relaxin_Signaling,0.00E+00,1.29E-02,NaN,"PDE2A,RXFP1"
CNTF_Signaling,0.00E+00,1.75E-02,NaN,TYK2
Cardiomyocyte_Differentiation_via_BMP_Receptors,0.00E+00,3.70E-02,NaN,NPPA
Renin-Angiotensin_Signaling,0.00E+00,1.65E-02,NaN,"NOX1,PLCG1"
Docosahexaenoic_Acid_(DHA)_Signaling,0.00E+00,2.63E-02,NaN,CASP9
Thrombin_Signaling,0.00E+00,2.67E-02,-1.342,"ARHGEF1,CAMK1G,GATA1,MYL3,PLCG1,RHOT2"
Cardiac_Hypertrophy_Signaling,0.00E+00,2.68E-02,0.378,"ADRB3,EIF2B1,EIF2B4,MAPKAPK2,MYL3,PLCG1,RHOT2"
CDK5_Signaling,0.00E+00,1.74E-02,NaN,"ABL1,MAPK7"
ICOS-ICOSL_Signaling_in_T_Helper_Cells,0.00E+00,1.97E-03,NaN,PLCG1
Cell_Cycle_Regulation_by_BTG_Family_Proteins,0.00E+00,2.63E-02,NaN,CDK4
Corticotropin_Releasing_Hormone_Signaling,0.00E+00,3.29E-02,-1,"CACNA1H,CREB3L4,GLI3,KRT1,PLCG1"
Mitotic_Roles_of_Polo-Like_Kinase,0.00E+00,2.99E-02,NaN,"ANAPC2,ANAPC4"
HGF_Signaling,0.00E+00,7.58E-03,NaN,PLCG1
HMGB1_Signaling,0.00E+00,3.59E-02,-2.236,"AGER,IL4,KAT2A,RBBP7,RHOT2,TNFSF9"
Maturity_Onset_Diabetes_of_Young_(MODY)_Signaling,0.00E+00,2.53E-02,NaN,"HNF1A,SLC2A2"
FLT3_Signaling_in_Hematopoietic_Progenitor_Cells,0.00E+00,1.22E-02,NaN,CREB3L4
GNRH_Signaling,0.00E+00,2.09E-02,NaN,"CACNA1H,CREB3L4,GNRH1,MAPK7"
Cholecystokinin/Gastrin-mediated_Signaling,0.00E+00,1.68E-02,NaN,"MAPK7,RHOT2"
Melanocyte_Development_and_Pigmentation_Signaling,0.00E+00,2.04E-02,NaN,"CREB3L4,PLCG1"
Antiproliferative_Role_of_Somatostatin_Receptor_2,0.00E+00,1.30E-02,NaN,SSTR2
Androgen_Signaling,0.00E+00,2.96E-02,NaN,"CACNA1H,GTF2H4,POLR2H,TAF15,TAF4"
Germ_Cell-Sertoli_Cell_Junction_Signaling,0.00E+00,5.88E-03,NaN,RHOT2
Aldosterone_Signaling_in_Epithelial_Cells,0.00E+00,1.74E-02,NaN,"HSPB3,HSPB6,PLCG1"
Growth_Hormone_Signaling,0.00E+00,2.82E-02,NaN,"PLCG1,PRL"
Prolactin_Signaling,0.00E+00,2.11E-02,NaN,"PLCG1,PRL"
Melanoma_Signaling,0.00E+00,2.00E-02,NaN,CDK4
Type_I_Diabetes_Mellitus_Signaling,0.00E+00,1.96E-03,NaN,CASP9
Endometrial_Cancer_Signaling,0.00E+00,1.67E-02,NaN,CASP9
Primary_Immunodeficiency_Signaling,0.00E+00,1.67E-02,NaN,CD8A
Allograft_Rejection_Signaling,0.00E+00,2.05E-03,NaN,IL4
Autoimmune_Thyroid_Disease_Signaling,0.00E+00,2.18E-03,NaN,IL4
Acute_Myeloid_Leukemia_Signaling,0.00E+00,2.20E-02,NaN,"HNF1A,TCF7L1"
Thyroid_Cancer_Signaling,0.00E+00,3.80E-02,NaN,"HNF1A,RET,TCF7L1"
Graft-versus-Host_Disease_Signaling,0.00E+00,2.24E-03,NaN,KIR2DL1/KIR2DL3
Type_II_Diabetes_Mellitus_Signaling,0.00E+00,2.61E-02,NaN,"CACNA1H,IRS4,SLC2A2,SMPD4"
Production_of_Nitric_Oxide_and_Reactive_Oxygen_Species_in_Macrophages,0.00E+00,2.62E-02,-2,"ARG2,IL4,PLCG1,RHOT2,TYK2"
Gα12/13_Signaling,0.00E+00,3.01E-02,-1,"ARHGEF1,CDH13,MAPK7,MYL3"
p70S6K_Signaling,0.00E+00,5.16E-03,NaN,"IL4,PLCG1,YWHAH"
ERK5_Signaling,0.00E+00,4.05E-02,NaN,"CREB3L4,MAPK7,YWHAH"
Colorectal_Cancer_Metastasis_Signaling,0.00E+00,4.06E-02,0.302,"CASP9,FZD1,FZD9,HNF1A,MMP17,RHOT2,TCF7L1,TYK2,WNT1,WNT10B,WNT7B"
mTOR_Signaling,0.00E+00,4.67E-03,NaN,RHOT2
MYC_Mediated_Apoptosis_Signaling,0.00E+00,4.00E-02,NaN,"ADRB3,CASP9"
G_Beta_Gamma_Signaling,0.00E+00,1.55E-02,NaN,"CACNA1H,PLCG1"
G_Protein_Signaling_Mediated_by_Tubby,0.00E+00,8.55E-03,NaN,"ABL1,IFT140,PLCG1,SSTR3"
Communication_between_Innate_and_Adaptive_Immune_Cells,0.00E+00,2.14E-03,NaN,"CD8A,IL4"
Sphingosine-1-phosphate_Signaling,0.00E+00,3.33E-02,-1,"CASP9,PLCG1,RHOT2,SMPD4"
Crosstalk_between_Dendritic_Cells_and_Natural_Killer_Cells,0.00E+00,3.30E-02,NaN,"IL4,KIR2DL1/KIR2DL3,KIR3DL1"
Systemic_Lupus_Erythematosus_Signaling,0.00E+00,8.43E-03,NaN,"C5,C7,HNRNPA2B1,IFNA8,LSM8,PLCG1,PRPF3,SNRNP70,SNRPA"
CDC42_Signaling,0.00E+00,1.74E-03,NaN,MYL3
ILK_Signaling,0.00E+00,3.98E-02,0.707,"CREB3L4,ILKAP,IRS4,MYH1,MYH13,MYH3,MYL3,RHOT2"
FAK_Signaling,0.00E+00,2.88E-02,2.921,"ADRB3,AVPR1A,CHRM2,FFAR4,FZD1,FZD9,GPR150,GPR153,GPR21,GPR22,GPR68,GPR83,GRM7,HNF1A,HRH2,HTR1F,HTR2C,IL12RB2,IL1RL2,KISS1R,MAPK7,P2RY4,PLCG1,PTH1R,RXFP1,SSTR2,SSTR3,TAS1R2,TCF7L1,VIPR1"
EIF2_Signaling,0.00E+00,2.17E-02,-2,"AGO3,CDK11A,EIF2B1,EIF2B4,RPL36A"
Retinoic_acid_Mediated_Apoptosis_Signaling,0.00E+00,3.33E-02,NaN,"CASP9,IFNA8"
AMPK_Signaling,0.00E+00,2.89E-02,-0.447,"ADRB3,CREB3L4,CRTC2,ILKAP,PFKFB1,SMARCE1,STRADA"
PAK_Signaling,0.00E+00,8.55E-03,NaN,MYL3
RAC_Signaling,0.00E+00,7.30E-03,NaN,NOX1
RHOA_Signaling,0.00E+00,3.23E-02,0,"ARHGAP1,ARHGEF1,MYL3,PFN4"
Phospholipase_C_Signaling,0.00E+00,6.24E-03,-1.89,"ARHGEF1,CREB3L4,HDAC6,MYL3,PLCG1,RHOT2,TGM2"
HER-2_Signaling_in_Breast_Cancer,0.00E+00,3.96E-02,0,"AAAS,CASP9,CDK4,NUP107,NUP188,NUP214,NUP62,PLCG1,RBL1"
Altered_T_Cell_and_B_Cell_Signaling_in_Rheumatoid_Arthritis,0.00E+00,2.13E-03,NaN,"IL4,PRTN3"
Atherosclerosis_Signaling,0.00E+00,7.52E-03,NaN,TPSAB1/TPSB2
Protein_Kinase_A_Signaling,0.00E+00,3.16E-02,0.707,"AKAP17A,ANAPC2,ANAPC4,CREB3L4,DUSP15,GLI3,HNF1A,MYL3,PDE2A,PHKA2,PLCG1,TCF7L1,YWHAH"
"Role_of_Macrophages,_Fibroblasts_and_Endothelial_Cells_in_Rheumatoid_Arthritis",0.00E+00,3.92E-02,NaN,"C5,CREB3L4,FZD1,FZD9,HNF1A,IL1RL2,MAPKAPK2,PLCG1,PRSS1,TCF7L1,WNT1,WNT10B,WNT7B"
Regulation_of_eIF4_and_p70S6K_Signaling,0.00E+00,1.63E-02,NaN,"AGO3,EIF2B1,EIF2B4"
Estrogen-Dependent_Breast_Cancer_Signaling,0.00E+00,1.22E-02,NaN,CREB3L4
Leptin_Signaling_in_Obesity,0.00E+00,1.32E-02,NaN,PLCG1
Role_of_NFAT_in_Cardiac_Hypertrophy,0.00E+00,1.79E-02,NaN,"CACNA1H,CAMK1G,HDAC6,PLCG1"
Glioma_Invasiveness_Signaling,0.00E+00,1.37E-02,NaN,RHOT2
Regulation_of_IL-2_Expression_in_Activated_and_Anergic_T_Lymphocytes,0.00E+00,2.16E-03,NaN,PLCG1
Granzyme_A_Signaling,0.00E+00,2.67E-02,NaN,"NDUFA13,NDUFV2"
TWEAK_Signaling,0.00E+00,2.70E-02,NaN,CASP9
NUR77_Signaling_in_T_Lymphocytes,0.00E+00,3.90E-03,NaN,"CASP9,MAPK7"
PKCθ_Signaling_in_T_Lymphocytes,0.00E+00,5.38E-03,NaN,"CACNA1H,PLCG1,POU2F1"
TNFR1_Signaling,0.00E+00,1.96E-02,NaN,CASP9
Role_of_Hypercytokinemia/hyperchemokinemia_in_the_Pathogenesis_of_Influenza,0.00E+00,3.49E-02,NaN,"IFNA8,IRF3,TYK2"
MSP-RON_Signaling_Pathway,0.00E+00,1.72E-02,NaN,MST1
PI3K_Signaling_in_B_Lymphocytes,0.00E+00,8.46E-03,-2,"ABL1,ATF7,IL4,IRS4,PLCG1"
P2Y_Purigenic_Receptor_Signaling_Pathway,0.00E+00,2.26E-02,NaN,"CREB3L4,P2RY4,PLCG1"
Intrinsic_Prothrombin_Activation_Pathway,0.00E+00,2.38E-02,NaN,SERPINC1
Role_of_Tissue_Factor_in_Cancer,0.00E+00,1.93E-02,0,"F7,MAPK7,PRSS1,RBL1"
IL-17A_Signaling_in_Airway_Cells,0.00E+00,1.49E-02,NaN,TYK2
Role_of_IL-17A_in_Arthritis,0.00E+00,1.75E-02,NaN,MAPKAPK2
IL-17A_Signaling_in_Fibroblasts,0.00E+00,2.30E-02,NaN,"AGER,THY1"
Role_of_IL-17F_in_Allergic_Inflammatory_Airway_Diseases,0.00E+00,2.13E-02,NaN,CREB3L4
"Role_of_JAK1,_JAK2_and_TYK2_in_Interferon_Signaling",0.00E+00,3.85E-02,NaN,TYK2
Role_of_JAK_family_kinases_in_IL-6-type_Cytokine_Signaling,0.00E+00,1.27E-02,NaN,TYK2
Role_of_JAK1_and_JAK3_in_γc_Cytokine_Signaling,0.00E+00,2.90E-02,NaN,"IL4,IRS4"
Actin_Nucleation_by_ARP-WASP_Complex,0.00E+00,1.08E-02,NaN,RHOT2
Dopamine-DARPP32_Feedback_in_cAMP_Signaling,0.00E+00,1.61E-02,NaN,"CREB3L4,KCNJ1,PLCG1"
NGF_Signaling,0.00E+00,3.33E-02,-2,"CREB3L4,MAPK7,PLCG1,SMPD4"
Signaling_by_Rho_Family_GTPases,0.00E+00,1.87E-02,-0.447,"ARHGEF1,CDH13,MYL3,NOX1,RHOT2"
RHOGDI_Signaling,0.00E+00,4.09E-02,0.816,"ARHGAP1,ARHGDIG,ARHGEF1,CDH13,MYH1,MYH13,MYH3,MYL3,RHOT2"
Sertoli_Cell-Sertoli_Cell_Junction_Signaling,0.00E+00,2.06E-02,0.447,"CDH13,CGN,CLDN16,CREB3L4,IL1RL2"
Gap_Junction_Signaling,0.00E+00,2.53E-02,NaN,"GJA8,GJD2,HTR2C,MAPK7,PLCG1"
Telomerase_Signaling,0.00E+00,1.85E-02,NaN,"ABL1,HDAC6"
Hematopoiesis_from_Pluripotent_Stem_Cells,0.00E+00,4.48E-03,NaN,"CD8A,IL4"
eNOS_Signaling,0.00E+00,2.56E-02,NaN,"AQP2,AQP3,CASP9,PLCG1"
iNOS_Signaling,0.00E+00,2.13E-02,NaN,TYK2
nNOS_Signaling_in_Skeletal_Muscle_Cells,0.00E+00,2.08E-02,NaN,CACNA1H
VEGF_Family_Ligand-Receptor_Interactions,0.00E+00,1.19E-02,NaN,PLCG1
ERBB_Signaling,0.00E+00,1.08E-02,NaN,PLCG1
ERB2-ERBB3_Signaling,0.00E+00,1.54E-02,NaN,TYK2
ERBB4_Signaling,0.00E+00,2.94E-02,NaN,"NCSTN,PLCG1"
GDNF_Family_Ligand-Receptor_Interactions,0.00E+00,2.63E-02,NaN,"PLCG1,RET"
Netrin_Signaling,0.00E+00,1.39E-02,NaN,CACNA1H
Heparan_Sulfate_Biosynthesis,0.00E+00,3.33E-02,NaN,"HS3ST2,TARS2,XYLT2"
Retinoate_Biosynthesis_I,0.00E+00,2.33E-02,NaN,RDH12
Thyroid_Hormone_Metabolism_II_(via_Conjugation_and/or_Degradation),0.00E+00,2.44E-02,NaN,DIO3
Heparan_Sulfate_Biosynthesis_(Late_Stages),0.00E+00,2.41E-02,NaN,"HS3ST2,TARS2"
Glutathione_Redox_Reactions_I,0.00E+00,3.57E-02,NaN,GSTM2
CDP-diacylglycerol_Biosynthesis_I,0.00E+00,3.57E-02,NaN,MBOAT1
D-myo-inositol-5-phosphate_Metabolism,0.00E+00,3.06E-02,-2.236,"ACP6,DUSP15,ILKAP,INPP5B,INPPL1,PLCG1"
NAD_Salvage_Pathway_II,0.00E+00,3.70E-02,NaN,ACP6
Pyridoxal_5'-phosphate_Salvage_Pathway,0.00E+00,3.08E-02,NaN,"CDK4,MAPK7"
"D-myo-inositol_(1,4,5)-Trisphosphate_Biosynthesis",0.00E+00,3.85E-02,NaN,PLCG1
Phospholipases,0.00E+00,2.90E-02,NaN,"LIPG,PLCG1"
Chondroitin_Sulfate_Biosynthesis,0.00E+00,3.28E-02,NaN,"HS3ST2,XYLT2"
Glutathione-mediated_Detoxification,0.00E+00,2.70E-02,NaN,GSTM2
Dermatan_Sulfate_Biosynthesis_(Late_Stages),0.00E+00,4.00E-02,NaN,"CHST14,HS3ST2"
Phosphatidylglycerol_Biosynthesis_II_(Non-plastidic),0.00E+00,3.33E-02,NaN,MBOAT1
"D-myo-inositol_(1,4,5,6)-Tetrakisphosphate_Biosynthesis",0.00E+00,2.78E-02,-2,"ACP6,DUSP15,ILKAP,INPP5B,INPPL1"
Nicotine_Degradation_II,0.00E+00,1.49E-02,NaN,FMO3
Superpathway_of_Inositol_Phosphate_Compounds,0.00E+00,2.99E-02,-1.89,"ACP6,DUSP15,ILKAP,INPP5B,INPPL1,ITPKA,PLCG1"
"D-myo-inositol_(3,4,5,6)-tetrakisphosphate_Biosynthesis",0.00E+00,2.78E-02,-2,"ACP6,DUSP15,ILKAP,INPP5B,INPPL1"
3-phosphoinositide_Degradation,0.00E+00,2.62E-02,-2.236,"ACP6,DUSP15,ILKAP,INPP5B,INPPL1"
3-phosphoinositide_Biosynthesis,0.00E+00,2.43E-02,-2,"ACP6,DUSP15,ILKAP,INPP5B,INPPL1"
Triacylglycerol_Biosynthesis,0.00E+00,1.79E-02,NaN,MBOAT1
Salvage_Pathways_of_Pyrimidine_Ribonucleotides,0.00E+00,4.12E-02,-2,"CDK4,MAPK7,NME2,UCKL1"
Pyrimidine_Ribonucleotides_Interconversion,0.00E+00,2.50E-02,NaN,NME2
Glycolysis_I,0.00E+00,4.00E-02,NaN,ENO3
Chondroitin_Sulfate_Biosynthesis_(Late_Stages),0.00E+00,1.89E-02,NaN,HS3ST2
Fatty_Acid_β-oxidation_I,0.00E+00,2.94E-02,NaN,SDS
Superpathway_of_Methionine_Degradation,0.00E+00,2.63E-02,NaN,EHMT1
Antioxidant_Action_of_Vitamin_C,0.00E+00,1.75E-02,NaN,"PLCG1,SLC2A2"
Epithelial_Adherens_Junction_Signaling,0.00E+00,2.53E-02,1,"HNF1A,MST1,TCF7L1,YWHAH"
Gαi_Signaling,0.00E+00,2.86E-02,2,"CHRM2,GRM7,HTR1F,SSTR3"
Gαq_Signaling,0.00E+00,2.35E-02,0,"AVPR1A,HTR2C,PLCG1,RHOT2"
Gαs_Signaling,0.00E+00,3.97E-02,1.342,"ADRB3,CREB3L4,HRH2,PTH1R,VIPR1"
Inhibition_of_Matrix_Metalloproteases,0.00E+00,2.56E-02,NaN,MMP17
PEDF_Signaling,0.00E+00,2.38E-02,NaN,"HNF1A,TCF7L1"
Regulation_of_Cellular_Mechanics_by_Calpain_Protease,0.00E+00,1.11E-02,NaN,CDK4
Cysteine_Biosynthesis_III_(mammalia),0.00E+00,4.00E-02,NaN,EHMT1
Role_of_p14/p19ARF_in_Tumor_Suppression,0.00E+00,3.33E-02,NaN,SF3A2
TEC_Kinase_Signaling,0.00E+00,5.19E-03,NaN,"PLCG1,RHOT2,TYK2"
UVA-Induced_MAPK_Signaling,0.00E+00,3.06E-02,NaN,"CASP9,PLCG1,SMPD4"
UVC-Induced_MAPK_Signaling,0.00E+00,1.96E-02,NaN,SMPD4
STAT3_Pathway,0.00E+00,3.70E-02,NaN,"FGFR4,IL12RB2,IL1RL2,NDUFA13,TYK2"
Oxidative_Phosphorylation,0.00E+00,1.79E-02,NaN,"NDUFA13,NDUFV2"
Unfolded_protein_response,0.00E+00,1.11E-02,NaN,SYVN1
Estrogen_Receptor_Signaling,0.00E+00,3.42E-02,-0.577,"ARG2,CREB3L4,EIF2B1,EIF2B4,GPS2,HNRNPD,MMP17,MYL3,NDUFA13,NDUFV2,NRF1,PLCG1,TBL1Y,TYK2"
Toll-like_Receptor_Signaling,0.00E+00,1.28E-02,NaN,TICAM2
EGF_Signaling,0.00E+00,1.79E-02,NaN,PLCG1
ERK/MAPK_Signaling,0.00E+00,1.86E-02,NaN,"CREB3L4,HSPB3,PLCG1,YWHAH"
PI3K/AKT_Signaling,0.00E+00,3.00E-02,1,"IL12RB2,IL1RL2,INPP5B,INPPL1,TYK2,YWHAH"
PTEN_Signaling,0.00E+00,3.31E-02,-1.342,"CASP9,FGFR4,INPP5B,INPPL1,YWHAH"
Nitric_Oxide_Signaling_in_the_Cardiovascular_System,0.00E+00,2.50E-02,NaN,"ADRB3,ARG2,PDE2A"
Cardiac_β-adrenergic_Signaling,0.00E+00,1.11E-02,NaN,"AKAP17A,PDE2A"
Interferon_Signaling,0.00E+00,2.78E-02,NaN,TYK2
